YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000000	0.8609619	0.1020453	0.0948339	0.1439149	0.2281336	1.1055327	0.9973650	0.2268225	1.0872035
0.1233835	0.0000000	0.1405310	0.1091159	0.1526445	0.2916635	1.0127969	0.9590975	0.2235799	1.0385308
0.9777057	0.9761755	0.0000000	0.1071255	0.1313648	0.2792890	0.9407872	0.8085386	0.2356845	1.1003173
1.0391610	0.8656490	0.1013248	0.0000000	0.1711157	0.2766984	0.9166015	0.8197341	0.2453938	0.9554655
0.9756934	1.0116383	0.0232297	0.0828937	0.0000000	0.2557365	0.9392328	0.8793074	0.2083392	0.9816491
0.9669637	0.9094955	0.0807893	0.0939348	0.0897844	0.0000000	1.0251423	0.9347945	0.2241452	1.0440827
0.6024552	0.2880754	0.5821839	0.3552598	0.5738613	1.1185637	0.0000000	0.8990019	0.2209314	0.8138986
0.5573268	0.3293249	0.5426735	0.4130859	0.6417783	0.9881397	0.0251730	0.0000000	0.2231561	0.8191300
0.9916823	0.7930631	0.1455626	0.0854059	0.1126496	0.2602356	0.9325592	1.0386728	0.0000000	1.0460335
1.0356169	1.0120046	0.0208941	0.0835392	0.1218685	0.2155082	1.0216204	0.5124309	1.0018887	0.0000000
