YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.4082372	0.7388299	0.6908112	0.6522696	0.0303853	0.0385775	0.0332531	0.2393757	0.6170384	0.7743723
0.6807496	0.2951078	0.8001901	0.6971664	0.0230267	0.0424345	0.0213366	0.2106448	0.7402465	0.6924381
0.8583426	0.6451751	0.3955937	0.7303665	0.0443570	0.0411436	0.0496481	0.2316197	0.6140937	0.7552679
0.6100332	0.7967622	0.7848172	0.3945288	0.0165282	0.0211962	0.0314138	0.2451052	0.6536646	0.6715522
0.5796529	0.7612856	0.7042597	0.7113621	0.0120165	0.0459606	0.0322893	0.2195213	0.6128160	0.6051580
0.8335618	0.6488818	0.6244856	0.8396351	0.0771610	0.0111505	0.0362736	0.2408209	0.7490525	0.8206576
0.8233183	0.7923761	0.7582076	0.6424102	0.0370164	0.0382521	0.0293771	0.2621113	0.5676411	0.6964290
0.9576070	0.7153943	0.8704800	0.5530814	0.0189251	0.0266517	0.0226390	0.1578271	0.6168669	0.8217742
0.7533128	0.5743605	0.7001676	0.3526023	0.2833383	0.5928634	0.5270448	0.6705955	0.2693270	0.3719696
0.8412433	0.6247118	0.6686914	0.6235451	0.0314628	0.1214575	0.0537730	0.2902311	0.5302221	0.4119408
