YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.2483143	0.7216134	0.3319120	0.5156804	0.4146268	0.2486700	0.0766315	0.6471177	0.2333398	0.7739095
0.8001110	0.1989389	0.3652378	0.5636885	0.4310465	0.3048806	0.0423831	0.5419102	0.3092477	0.6924326
0.5372677	0.6539123	0.1675583	0.6242670	0.6413369	0.1483417	0.0839303	0.6521058	0.2016334	0.7477566
0.6006869	0.7947570	0.2926179	0.3445451	0.5099316	0.2051300	0.0369986	0.7785117	0.2637691	0.8151762
0.5089806	0.7209585	0.1207567	0.5355899	0.3303877	0.2461943	0.0675694	0.7839374	0.3242876	0.7755487
0.6493575	0.6630786	0.2920351	0.4698051	0.3341903	0.1192794	0.0996810	0.7416129	0.2345047	0.6465456
0.4630122	0.6987419	0.2875959	0.5707274	0.4449890	0.2605603	0.0492757	0.7601490	0.3594528	0.8003073
0.5615526	0.3376544	0.3677219	0.5313150	0.3692233	0.6441940	0.2768406	0.3796516	0.4159205	0.7030721
0.5427753	0.6402258	0.2900115	0.5039661	0.4397898	0.2646065	0.0619324	0.5785847	0.1202027	0.7624015
0.4999183	0.6487760	0.3398969	0.6716472	0.4534852	0.3542336	0.1043196	0.6690127	0.2003685	0.4705889
