YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.4606378	0.2124201	0.4256768	0.4464184	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.7988341	0.1062166	0.4256834	0.4464137	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.7656858	0.0920437	0.1675635	0.5506323	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.9793420	0.8123493	0.9302368	0.1101845	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.9318945	0.2355411	0.4442314	0.4289965	0.0792441	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.7710463	0.0941408	0.2007341	0.8513485	0.6506879	0.5000002	1.0000000	0.7032312	1.0000000	1.0000000
0.8531032	0.1937882	0.4256885	0.4464101	0.1584881	1.0000000	0.5000270	0.7032312	1.0000000	1.0000000
0.7596351	0.2124487	0.4256926	0.4464073	0.1584881	1.0000000	1.0000000	0.3516180	1.0000000	1.0000000
0.5487638	0.2124624	0.4257001	0.4464020	0.1584881	1.0000000	1.0000000	0.0716165	0.5000004	1.0000000
0.9211426	0.2124320	0.4256834	0.4464137	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	0.5000791
