"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.0998950	0.9054292	0.0460330	0.9718910	0.8368844	0.7707006	0.6636710	1.1414693	0.7526707	1.0902661
50	0.0997709	0.9119836	0.0273258	1.0195788	0.8101744	0.7526647	0.8893640	0.9850441	0.9530828	0.9948397
100	0.0845200	0.9548818	0.0277804	0.9706528	0.7668782	0.8042077	0.7909391	0.8935039	0.9395187	1.0045173
150	0.0655826	0.9655973	0.0475184	0.9950356	0.8276802	0.7736915	0.7582142	0.9877800	0.8867100	1.0322605
200	0.0706889	0.8548922	0.0322651	1.0601861	0.8737072	0.7708886	0.8140410	0.9830320	0.9387180	1.0433124
250	0.0850137	1.0169191	0.0298037	0.9233679	0.8339514	0.7702074	0.7836927	1.0269910	0.9538555	1.0824286
300	0.0820784	1.0220714	0.0214694	1.0069255	0.8336505	0.7313169	0.7835640	1.0591458	0.9662659	0.8970044
350	0.1130093	1.0698941	0.0376129	1.0688211	0.8437864	0.7700682	0.7919106	0.9742893	0.9237257	0.9720289
400	0.0754785	0.9757920	0.0331061	1.1041316	0.8174754	0.8425908	0.7718658	1.0143016	0.9922532	1.0175312
450	0.0996767	1.0248657	0.0409397	1.0510095	0.7902726	0.8217277	0.6622671	1.0897027	1.0687082	0.9748038
500	0.0858576	1.0581723	0.0290355	1.0367934	0.7894999	0.8385799	0.7325602	1.0612870	1.0453889	0.9750288
550	0.0799261	1.1165916	0.0397630	0.9982552	0.8213460	0.7014659	0.8114393	0.9737193	0.9955468	0.9536596
600	0.0848568	0.9412001	0.0287375	1.0230146	0.8970314	0.7266700	0.9067626	1.0849081	0.7812272	0.9645779
650	0.0990669	0.9356778	0.0276435	1.0448631	0.8666055	0.7787141	0.8657948	1.0437056	0.8263245	0.9777545
700	0.1086741	0.9829628	0.0250398	0.9554720	0.8573517	0.8511764	0.9456202	1.0156222	0.8374805	0.9695990
750	0.1103181	0.9718423	0.0169985	0.9735305	0.7375661	0.8276538	0.9199565	1.0268695	0.8331124	0.9275621
800	0.1062629	1.0215268	0.0277297	0.9073186	0.7889999	0.7911616	0.8249725	1.0534551	0.9300991	0.9310455
850	0.0901984	1.0104273	0.0261674	0.9677867	0.8076427	0.7808532	0.7746032	1.0128459	0.8702576	0.9218635
900	0.0661761	1.0083137	0.0266957	0.9167897	0.8881028	0.7561936	0.8153400	0.9458204	0.7794631	0.9305433
950	0.0800136	1.0256523	0.0238264	0.9307615	0.7782303	0.8499329	0.7602592	0.8894265	0.7864891	0.8887246
1000	0.0885180	0.9896697	0.0348734	0.9552842	0.7667890	0.8626786	0.7034290	1.1000399	0.7024440	0.9122172

0	0.0998950	0.9054292	0.0460330	0.9718910	0.8368844	0.7707006	0.6636710	1.1414693	0.7526707	1.0902661
50	0.1423228	0.8738761	0.0278621	0.8477886	0.9117555	0.7889664	0.9347762	0.9402827	0.9219049	1.0399915
100	0.0918934	0.8075667	0.0264356	0.9752003	0.8746484	0.8440291	0.8186321	0.9750311	0.9128993	0.9595686
150	0.0635832	0.8823925	0.0240495	0.8483149	0.8446300	0.8138144	0.9049219	0.9168873	0.8226631	0.8674970
200	0.0851571	0.8593683	0.0106410	1.0196389	0.8527987	0.8432684	0.9429912	0.9630796	0.8764918	0.9404484
250	0.0829259	0.7926636	0.0201420	1.0452176	0.7910086	0.9124851	0.9711932	1.0576478	1.0197017	0.9804041
300	0.0803508	0.7335546	0.0356888	1.0019401	0.7965755	0.9455309	1.0330012	0.9994414	1.0009085	0.9200052
350	0.0947585	0.6580558	0.0445097	0.9388735	0.7160593	0.8821887	0.9971412	0.9118333	0.9171957	0.9031694
400	0.0988869	0.7110442	0.0233555	0.8725003	0.6839319	0.8472532	0.9147969	0.9492714	0.9064529	0.9581974
450	0.0935066	0.7088357	0.0157792	0.8825692	0.7706774	0.6916492	0.9567915	1.0222824	0.9065506	0.9778510
500	0.0805473	0.7155929	0.0289783	1.0047671	0.8103095	0.8164293	1.0384776	1.0642235	1.0071999	0.9247667
550	0.1032609	0.7381381	0.0389699	1.0402626	0.8037298	0.8015369	1.0437990	1.0341348	0.8985562	1.0468919
600	0.1227067	0.7282715	0.0334278	1.0104859	0.8187502	0.8156509	0.8721647	1.0282775	0.7938617	1.0894636
650	0.1108135	0.8180250	0.0320173	0.9893418	0.7322210	0.7713319	0.7870032	1.0436211	0.8015776	0.9879725
700	0.0958959	1.0462592	0.0298922	0.9067439	0.7960584	0.6622945	0.7367962	1.0334197	0.8165308	0.9678417
750	0.0838639	0.9818829	0.0223986	0.9993246	0.9120978	0.7149839	0.8587527	1.0690138	0.7745691	1.0080947
800	0.0763333	1.0641447	0.0187606	0.9710714	0.9009231	0.7023418	0.9132734	0.9866052	0.7994862	0.9549353
850	0.0786654	1.0093536	0.0268825	0.8149007	0.8376965	0.7411287	0.8116131	1.0330310	0.7761584	1.0648556
900	0.1108705	0.9933250	0.0290634	0.8604947	0.8192257	0.7505545	0.8025512	1.0704309	0.7777281	0.9858515
950	0.1162488	1.0109945	0.0329837	1.0335114	0.8106211	0.6857085	0.8051998	1.0060692	0.7310149	1.0684105
1000	0.0751984	1.0546393	0.0326102	1.0774644	0.8154977	0.7453860	0.8056604	0.9753493	0.8268566	1.1043058

0	0.0998950	0.9054292	0.0460330	0.9718910	0.8368844	0.7707006	0.6636710	1.1414693	0.7526707	1.0902661
50	0.0416651	0.8307943	0.0323995	0.9123467	0.7875951	0.8177595	0.8304430	0.7509274	0.7205740	0.9660123
100	0.0276155	0.9032303	0.0366198	0.9724079	0.8761566	0.7988389	0.7393160	0.4800929	0.7237509	0.9398818
150	0.0143449	0.8932915	0.0350613	0.9448106	0.8289660	0.8293827	0.5065164	0.2692555	0.7570241	0.9725977
200	0.0052319	0.8598477	0.0496722	0.9148257	0.7988564	0.7191788	0.3576770	0.2338658	0.8444546	0.9096311
250	0.0055178	0.8316003	0.0363641	1.0656838	0.7278536	0.6953458	0.2291667	0.2046330	0.7452466	0.8522549
300	0.0041458	0.9636429	0.0455610	0.9879646	0.7332083	0.5290260	0.1303331	0.2125094	0.8821573	0.8027527
350	0.0025216	0.9885692	0.0544173	1.0100790	0.9049635	0.3912205	0.0923540	0.2097570	0.8919547	0.8341698
400	0.0005192	0.9240737	0.0332432	0.9929802	0.8772173	0.4054565	0.0617284	0.2041939	0.9002392	0.8311234
450	0.0000113	0.9571448	0.0335213	0.9829948	0.9255806	0.3070996	0.0614448	0.1931407	0.9476908	0.7814073
500	0.0024356	0.8975959	0.0289743	0.9528607	0.8900869	0.2553857	0.0619652	0.2229864	0.9397894	0.8137968
550	0.0519485	0.8607536	0.0231030	0.9847306	0.9415136	0.2552521	0.1131626	0.5168044	0.8656994	0.8813257
600	0.0912822	0.9561934	0.0129419	1.0109434	0.9699096	0.3510531	0.2472947	0.8574943	0.8826054	0.8652730
650	0.0655320	1.0438719	0.0246040	1.0289154	0.9446381	0.4714646	0.4326040	1.0239526	0.8454078	1.0612957
700	0.0590432	1.0519938	0.0301476	0.9198701	0.8974721	0.6196970	0.7041643	1.0261287	0.7551550	1.0428396
750	0.1058750	1.0177073	0.0311107	0.9846461	0.8909887	0.7998641	0.8832985	1.0472248	0.7245953	1.0176015
800	0.1260084	1.0102289	0.0132690	0.9741248	0.9472658	0.8841830	0.8496867	1.0964880	0.8138062	0.9755353
850	0.0980306	1.0141877	0.0377211	1.0482876	0.8233305	0.7810956	0.8440489	1.0035356	0.7820758	1.0462462
900	0.0639354	1.0123323	0.0450670	1.1038098	0.8354288	0.7764775	0.8338860	1.0000458	0.8546403	1.0130385
950	0.0905216	0.8968507	0.0162943	1.1697704	0.8726962	0.7658925	0.8042787	0.9531141	0.7801030	0.9880425
1000	0.1123722	0.9764873	0.0227175	1.1136321	0.9154715	0.8066857	0.8099286	1.0084572	0.7089964	1.0719531

0	0.0998950	0.9054292	0.0460330	0.9718910	0.8368844	0.7707006	0.6636710	1.1414693	0.7526707	1.0902661
50	0.0750827	0.8671279	0.0286230	1.0328892	0.9107499	0.9226195	0.8510488	0.9022615	0.8696498	0.9904005
100	0.0884662	0.8414177	0.0197662	1.0221287	0.8642134	0.9911400	0.7978062	0.8856750	0.8900574	1.0604378
150	0.0945849	0.8247066	0.0134749	0.9688965	0.9124571	1.1501562	0.7610866	0.9412174	0.8704774	1.1077737
200	0.0781761	0.7936208	0.0184235	0.9852899	0.8446079	0.9989770	0.8245521	1.0763199	0.9074709	1.0477234
