YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.3960230	0.9273961	0.4422870	0.7810196	0.5774173	0.3704513	0.1200769	0.9451385	0.3612398	1.0000000
0.8337423	0.4636981	0.4422870	0.7810196	0.5774173	0.3704513	0.1200769	0.9451385	0.3612398	1.0000000
0.7882996	0.9849281	0.2811535	0.8245051	0.6823859	0.2355895	0.1200758	0.9451439	0.3612385	1.0000000
0.7919631	0.9273212	0.4423042	0.3905136	0.5774398	0.3706048	0.1201554	0.9447572	0.3613342	1.0000000
0.7876299	0.9952804	0.2011584	0.6427830	0.3804403	0.1700795	0.1200837	0.9451070	0.3612478	1.0000000
0.7875495	0.9966677	0.3647817	0.7473072	0.5149552	0.1543146	0.1200781	0.9451333	0.3612411	1.0000000
0.7891998	0.9707665	0.4203305	0.7720482	0.5594601	0.2839251	0.0600386	0.9451373	0.3612401	1.0000000
0.7164477	0.4597051	0.4883076	0.7986534	0.6160628	0.7887520	0.3941014	0.4855180	0.4936645	1.0000000
0.7761581	0.8520967	0.4584462	0.7873806	0.5908265	0.4624183	0.1470528	0.8412589	0.1943962	1.0000000
0.7848231	0.9049076	0.4485134	0.7835014	0.5826181	0.4024621	0.1304012	0.9005660	0.2621112	0.5000000
