"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1700073	0.3368272	0.0523640	0.7745435	0.0920398	0.6067226	0.2758202	0.1555845	0.0174089	0.0256745
50	0.2393177	0.2500916	0.0205806	0.7149035	0.0562848	0.6034067	0.3834485	0.1425020	0.0208775	0.0325966
100	0.4190136	0.2488867	0.0015668	0.8965478	0.0229158	0.5985543	0.4047861	0.3713189	0.0328639	0.0342569
150	0.3092507	0.2938958	0.0360056	0.7535868	0.0484820	0.7217091	0.4844429	0.4840588	0.0410980	0.0289395
200	0.4693842	0.2453976	0.0091533	0.6416307	0.0490691	0.5055003	0.4348617	0.3500112	0.0126526	0.0513050
250	0.4851974	0.2897773	0.0062449	0.7775077	0.1174882	0.5422450	0.5757859	0.3643836	0.0156318	0.0305722
300	0.4373613	0.3578368	0.0056457	0.9580222	0.0455089	0.5389413	0.5628706	0.4534854	0.0099745	0.0404206
350	0.5812986	0.3467847	0.0059856	0.7314726	0.0894683	0.4565353	0.4498823	0.3442726	0.0151679	0.0409059
400	0.4040712	0.3714070	0.0038169	0.9117437	0.0834232	0.5759325	0.5970104	0.3888786	0.0226365	0.0382745
450	0.3965995	0.3666318	0.0124028	0.6724923	0.0871172	0.4949552	0.6058098	0.4257515	0.0075877	0.0420599
500	0.3661225	0.4127685	0.0297767	0.8103224	0.1337152	0.3927333	0.7542469	0.3309575	0.0051215	0.0446579
550	0.3394721	0.3688590	0.0294761	0.7000857	0.0976486	0.3962174	0.5830724	0.2344100	0.0334597	0.0280854
600	0.2273821	0.3590701	0.0603948	0.6417561	0.0989180	0.5877299	0.5669398	0.3347072	0.0201307	0.0302180
650	0.1536943	0.3201308	0.0247169	0.9060123	0.0772916	0.4475108	0.5544192	0.2660719	0.0296397	0.0271057
700	0.1275778	0.4039041	0.0344596	0.7606628	0.1075962	0.5265284	0.6669614	0.1781209	0.0338634	0.0088860
750	0.0823834	0.3663774	0.0368913	0.6888737	0.1026632	0.4864533	0.5854751	0.2158873	0.0338819	0.0280515
800	0.0652312	0.2878056	0.0218457	0.6539704	0.0353825	0.5711700	0.5059642	0.2112875	0.0272026	0.0271495
850	0.1556399	0.3826367	0.0282594	0.6797151	0.0487481	0.4519698	0.4967903	0.2568573	0.0165455	0.0424563
900	0.1410487	0.4043299	0.0417673	0.8064407	0.0533278	0.6322557	0.5068747	0.1736369	0.0336100	0.0473725
950	0.2545769	0.3317629	0.0226143	0.9018710	0.0905223	0.5991184	0.4139884	0.3624616	0.0326512	0.0158797
1000	0.1262332	0.3261124	0.0275154	0.8052331	0.0449626	0.5036175	0.4503685	0.2078839	0.0272350	0.0309154

0	0.1426358	0.2572848	0.0239665	0.9114755	0.1325243	0.5625126	0.3477630	0.1825732	0.0262534	0.0213997
50	0.0830089	0.3532887	0.0365937	0.5860689	0.1611333	0.4473712	0.4477023	0.1595581	0.0065205	0.0472691
100	0.1253651	0.3959258	0.0682217	0.4618116	0.2925057	0.7010964	0.3952883	0.0951347	0.0089099	0.0438430
150	0.2040110	0.5024506	0.1338722	0.3547300	0.2889702	0.6360851	0.3737362	0.1168514	0.0145494	0.0223752
200	0.3021658	0.4923084	0.2643164	0.2714641	0.3858506	0.5569152	0.3548938	0.1790058	0.0268035	0.0276967
250	0.5525487	0.6729209	0.1965605	0.3039441	0.3464366	0.5783600	0.3769068	0.3977974	0.0154525	0.0337350
300	0.5486741	0.7689526	0.3692665	0.2480657	0.4227280	0.7176514	0.5322677	0.7003739	0.0398143	0.0237466
350	0.6537896	0.8189608	0.4930914	0.2945770	0.3432958	0.4732093	0.5475556	0.4740718	0.0126727	0.0281368
400	0.7150440	0.8831879	0.5498463	0.2103889	0.4139031	0.5150120	0.5763054	0.4851972	0.0203202	0.0178643
450	0.6430257	0.7610320	0.4776896	0.2733598	0.2861344	0.5730587	0.5709373	0.5986684	0.0245649	0.0256364
500	0.7060128	0.5688854	0.4704378	0.3053134	0.2717080	0.4345780	0.4257623	0.5484455	0.0681211	0.0645378
550	0.6168265	0.7084645	0.4903899	0.4145589	0.2169454	0.4854407	0.5906664	0.7523742	0.0381955	0.0313487
600	0.4496985	0.6939431	0.4302859	0.6799929	0.1305868	0.4302682	0.5068770	0.6399710	0.0142652	0.0202676
650	0.8179859	0.5755954	0.1045703	0.6700926	0.0829337	0.6269442	0.5684307	0.4327423	0.0174160	0.0504513
700	0.7463003	0.4984301	0.0874890	0.7379888	0.0900901	0.3809465	0.6824262	0.2825715	0.0504364	0.0460946
750	0.4353981	0.4291444	0.0710250	0.8671570	0.0610220	0.4875662	0.5627123	0.2976350	0.0124289	0.0297106
800	0.3262388	0.3282897	0.0241458	0.8251161	0.0724424	0.3537521	0.6252179	0.1802520	0.0109028	0.0555978
850	0.1883821	0.3491364	0.0230756	0.7806514	0.0874305	0.4473051	0.4780066	0.1014141	0.0388918	0.0324944
900	0.1671466	0.3172828	0.0373645	0.7248502	0.0909763	0.5758945	0.3840156	0.0792471	0.0156207	0.0319162
950	0.2291845	0.4475786	0.0548375	0.7630533	0.0466396	0.6343366	0.2661288	0.1249851	0.0227421	0.0086914
1000	0.1591451	0.3959279	0.0392818	0.8034142	0.0366401	0.6310699	0.3821594	0.1497444	0.0076734	0.0335795

0	0.1021713	0.2738576	0.0284355	0.8836484	0.0688779	0.5860358	0.3788160	0.1305808	0.0210374	0.0501170
50	0.1260068	0.2789347	0.0294712	0.7063768	0.0578707	0.4498260	0.5066633	0.3587368	0.1329312	0.0427652
100	0.1576432	0.3546535	0.0227508	0.7716444	0.0920644	0.1762836	0.5436242	0.5036942	0.1415295	0.0240947
150	0.1116628	0.2381017	0.0334146	0.8115858	0.1716975	0.2202914	0.5319916	0.7973411	0.2196999	0.0539436
200	0.0717821	0.2683731	0.0313039	0.7180376	0.1796136	0.0854962	0.6145344	0.7565861	0.1867306	0.0529409
250	0.1264711	0.3653223	0.0546653	0.7619645	0.2193499	0.0952684	0.6714791	0.8064802	0.1472458	0.1311454
300	0.1401455	0.3470178	0.0201018	0.6975402	0.2455843	0.1121608	0.6104143	0.6083568	0.2116190	0.0729975
350	0.1627595	0.3317185	0.0188396	0.8690815	0.2863976	0.0969420	0.6576571	0.8402613	0.1826624	0.1145059
400	0.1325008	0.3731867	0.0697330	0.6729911	0.2779813	0.1102453	0.6106486	0.8406118	0.1743538	0.0565677
450	0.2138484	0.3350731	0.0471003	0.8280824	0.3264253	0.1086446	0.8401957	0.8013316	0.1996417	0.1486971
500	0.1421044	0.2634113	0.0737667	0.7413096	0.3193292	0.0714180	0.6271747	0.7830366	0.1381347	0.0977797
550	0.1171206	0.3805033	0.0601160	0.7644562	0.2771008	0.2113087	0.7507558	0.9592798	0.1060209	0.1253923
600	0.1845378	0.3373396	0.0630731	0.8711511	0.1673132	0.2988219	0.5465243	0.9190184	0.0345381	0.0759339
650	0.1334960	0.2898307	0.0202805	0.7487971	0.0997256	0.4398359	0.6166872	0.6254973	0.0088038	0.0838207
700	0.1300263	0.3454269	0.0138585	0.8922459	0.0618959	0.4877033	0.6562225	0.4755073	0.0057138	0.0581315
750	0.1662691	0.2588219	0.0169579	0.7470470	0.0541678	0.3420217	0.5602515	0.1926580	0.0261173	0.0487891
800	0.0948120	0.3268244	0.0170753	0.7747889	0.0993142	0.5771808	0.5019481	0.1590037	0.0149839	0.0330047
850	0.1509414	0.3090743	0.0312971	0.7527297	0.0614847	0.5338783	0.4443837	0.1074780	0.0233213	0.0559762
900	0.1115292	0.3049916	0.0179946	0.6859952	0.0356646	0.5985974	0.4546497	0.1658387	0.0210338	0.0452241
950	0.0603912	0.2593407	0.0369990	0.8041353	0.0349978	0.6219379	0.4877659	0.2385115	0.0177545	0.0195592
1000	0.0898655	0.3372751	0.0419292	0.7049721	0.0647747	0.5486312	0.5033227	0.2319961	0.0235154	0.0173837

0	0.1173210	0.3067980	0.0473137	0.8328828	0.0961435	0.7225397	0.3609300	0.1402579	0.0378085	0.0189503
50	0.2683211	0.3296035	0.0425601	0.8044383	0.0413031	0.7266222	0.4984351	0.1377934	0.0318008	0.0413160
100	0.2985245	0.3123804	0.0513763	0.6145148	0.0472604	0.5518926	0.4293776	0.1452966	0.0510682	0.0166209
150	0.3871116	0.3928868	0.0207147	0.7109371	0.0433946	0.6156477	0.4509963	0.1778593	0.0162936	0.0058616
200	0.4180174	0.3312735	0.0197146	0.6974544	0.0778728	0.6621820	0.3428593	0.2637225	0.0330701	0.0757511
250	0.4030356	0.3781561	0.0229238	0.7244314	0.0616353	0.5589696	0.5644953	0.3705816	0.0177912	0.0187101
300	0.4112386	0.3139882	0.0319338	0.6448738	0.0730112	0.6126616	0.4441479	0.3324188	0.0128388	0.0333337
350	0.4061179	0.3699261	0.0390352	0.8884246	0.0787948	0.5418791	0.4832209	0.1587665	0.0088075	0.0202723
400	0.4393434	0.3422649	0.0310592	0.7364927	0.0179201	0.5246389	0.5201061	0.1364570	0.0471363	0.0455351
450	0.3767744	0.3590578	0.0106018	0.7943023	0.0411053	0.5872065	0.4093675	0.2321174	0.0392603	0.0343983
500	0.4954496	0.3049876	0.0141665	0.7847300	0.0408583	0.5836239	0.4413361	0.4026855	0.0364249	0.0264913
550	0.2451494	0.3562697	0.0245971	0.8520255	0.0364788	0.7355826	0.4616899	0.5421547	0.0199934	0.0314301
600	0.1231235	0.3031602	0.0524970	0.7190838	0.0884492	0.4416832	0.5119239	0.4111220	0.0060069	0.0260237
650	0.1771716	0.2610511	0.0499515	0.8904948	0.1233220	0.6085332	0.5836245	0.3657973	0.0324717	0.0256380
700	0.1397372	0.2137269	0.0312304	0.8225775	0.0988200	0.4761859	0.5223662	0.3678495	0.0072175	0.0170056
750	0.1130888	0.3529878	0.0382504	0.8836166	0.0609809	0.4232367	0.6850639	0.3852189	0.0247401	0.0169381
800	0.1045668	0.3282103	0.0447917	0.6455478	0.0666113	0.4914903	0.6014526	0.2188785	0.0099090	0.0153582
850	0.2121196	0.4278893	0.0777124	0.7511325	0.0759740	0.4371813	0.5453659	0.1537988	0.0132042	0.0374863
900	0.1685019	0.4198195	0.0336213	0.7740961	0.0947423	0.4890065	0.4159366	0.1137620	0.0305061	0.0351153
