YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000000	0.0470980	0.3537821	0.5201646	0.4862957	0.3436028	0.1928971	0.6572343	0.3110879	0.7959674
0.7845597	0.0000000	0.2616537	0.6591451	0.3169532	0.4127367	0.1261272	0.7164793	0.2170154	0.7769703
0.6717303	0.0162766	0.0000000	0.6508441	0.5960014	0.3073023	0.0809423	0.6967844	0.2946500	0.7966226
0.0331505	0.3817729	0.5795370	0.0000000	0.4282153	0.3698258	0.1254973	0.8057905	0.3674167	0.7493836
0.0542610	0.5080305	0.8196287	0.0572991	0.0000000	0.4089048	0.1397099	0.6621356	0.3081463	0.7248425
0.7940043	0.0281438	0.3830682	0.5892623	0.3063810	0.0000000	0.1251659	0.8270577	0.1956019	0.7384402
0.0382431	0.4179393	0.6822707	0.0506200	0.0551855	0.5272456	0.0000000	0.5501315	0.2870554	0.7132921
0.6737418	0.0605883	0.2031599	0.6439258	0.7856702	0.1701354	0.7997607	0.0000000	0.3939053	0.7230849
0.7616621	0.0290639	0.2574983	0.5917594	0.3806225	0.4344159	0.1158809	0.7882303	0.0000000	0.7374028
0.7659370	0.0146947	0.1755655	0.5342846	0.6157570	0.2260866	0.4209328	0.2652607	0.6299517	0.0000000
