YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.4081393	0.3605458	0.9857576	0.8012666	0.9719945	0.3847979	0.3762164	0.7663841	0.1138230	0.9971557
0.3425344	0.3023210	0.9794457	0.2844250	0.3603189	0.8965014	0.1572302	0.8437385	0.1390987	0.7086413
0.2644736	0.3586088	0.9910869	0.7105443	0.9242896	0.5091677	0.3019160	0.8453247	0.0963440	1.0000000
0.2320608	0.3427743	0.9336063	0.8171602	0.5995298	0.6768835	0.3687973	0.6057951	0.2002864	0.8481745
0.5353264	0.5920422	0.5510009	0.4808331	0.5473605	0.7944123	0.2913519	0.9735259	0.0522518	1.0000000
0.0145564	0.2077015	0.9886989	0.2608964	0.7295598	0.7634614	0.3661030	0.8020544	0.1136335	0.9287404
0.0430580	0.3572243	0.9949146	0.8222472	0.5316574	0.8893312	0.1676292	0.9608800	0.0782534	1.0000000
0.4186487	0.3333220	0.9639589	0.4627173	0.5189497	0.7609349	0.3703673	0.7871862	0.1629973	0.6816547
0.1985846	0.2839461	0.9956057	0.6627579	0.6504798	0.8438668	0.2352390	0.8596896	0.0749307	1.0000000
0.0551859	0.4130147	0.8528130	0.1886152	0.3938462	0.7824663	0.2595155	0.9642376	0.1186397	0.5065488
