YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.9726514	1.0830023	0.0471874	0.2445946	0.8992632	0.5306955	1.0357852	0.9704361	1.0250803
0.9969254	0.0000000	0.9875367	0.0905230	0.5956671	0.7884131	0.5059557	0.9124194	1.0779133	1.1221628
1.0226428	0.0405564	0.0000000	0.0539170	0.6398074	0.8754987	0.5297076	1.0097014	1.1049810	1.0473649
0.0954900	0.9790305	0.9678953	0.0009819	0.2978007	0.9615676	0.5838789	0.9706980	0.9552560	1.1139510
0.1041522	1.0972348	1.0197847	0.0177696	0.0000000	0.9495727	0.4870961	0.9990872	1.0783811	0.9811997
0.0727361	0.9794334	1.1059411	0.0630177	0.5945630	0.0000000	0.5067589	0.9644478	1.0439732	1.0518014
0.0977718	0.9925105	0.9631107	0.0409683	0.2932702	1.0053691	0.0000000	0.9992643	0.9758290	1.1215264
0.1183615	1.1197327	1.0750682	0.0277041	0.3245366	0.7398540	1.0417997	0.0000000	0.8731115	1.0830126
0.0779603	1.0422195	1.0408096	0.5016611	0.3166549	0.9865997	0.5122164	1.0788685	0.0000000	0.9406551
0.0630861	1.0019848	0.9737364	0.0166142	0.2293494	0.8975391	0.5004262	0.9221923	1.0107303	0.0000000
