YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.3507245	0.6611145	0.3884450	0.2518097	0.2711791	0.3709800	0.3164653	0.6586856	0.8534427	1.1439683
0.9509996	0.4905572	0.2441801	0.2092470	0.1953680	0.3379528	0.4554606	0.3746685	0.9427759	1.0024443
0.4256487	0.9848014	0.2328921	0.2066016	0.1562094	0.3470495	0.2905991	0.5468739	0.9340661	0.9709310
0.5119518	0.9905925	0.1980498	0.0997661	0.2538378	0.4442084	0.3407962	0.7016409	0.9113772	1.0046155
0.4676275	0.9263060	0.2343061	0.1199395	0.0979900	0.3153235	0.3275732	0.6006050	0.9296792	1.0153370
0.6492837	0.9537669	0.1995718	0.1058273	0.0318385	0.1666980	0.3929815	0.5076124	0.8422738	1.0863634
0.6696409	0.6790701	0.2663282	0.1440868	0.1144965	0.2646228	0.2114715	0.5794574	0.8453037	0.9566545
0.8404720	0.7006683	0.3065450	0.1422035	0.1221944	0.2932226	0.5539485	0.1881332	0.8926450	1.1129767
1.0607923	0.2403821	0.6862710	0.4285730	0.2807423	0.4119279	0.3891059	0.4437053	0.3981295	0.9708570
0.9843537	0.2804308	0.4929334	0.1574470	0.1194571	0.2307091	0.4815650	0.4332928	0.6304855	0.4945487
