YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.9901422	0.0745022	0.6519565
0.9999999	0.0000000	0.0854238	0.2701710	0.9999946	0.0219326	0.4167347	0.9901433	0.0744974	0.6710867
0.9316393	0.1008047	0.0000008	0.2701709	0.9999952	0.0213403	0.4167447	0.9901427	0.0745000	0.6795292
0.6844058	0.6306073	0.9999955	0.0000000	0.9999979	0.0170116	0.6250377	0.9806188	0.1089379	0.7557689
0.9304839	0.1025344	0.0860560	0.9999978	0.0000005	0.0217056	0.4167458	0.9901426	0.0745002	0.6743059
0.9225314	0.1147221	0.1875137	0.2701697	1.0000000	0.0000006	0.4167556	0.9901422	0.0745022	0.6519559
0.9225327	0.1147196	0.1874991	0.2701813	0.9999535	0.0394770	0.0000002	0.9901433	0.0744974	0.5110340
0.9225317	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.0000006	0.0745022	0.6519565
0.9225317	0.1147217	0.1875114	0.2701713	0.9999934	0.0233136	0.4171099	0.9999986	0.0000006	0.6521413
0.9304213	0.1026113	0.0873929	0.7521599	0.2031052	0.9999987	0.4167459	0.9901433	0.0744974	0.0000000
