"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.4878955	1.0000000	0.4291780	0.7764117	0.2831452	0.5009001	0.6151227	0.3323244	0.6024894	1.0000000
50	0.3640846	1.0000000	0.4288540	0.7776830	0.2694071	0.3132928	0.4491195	0.3325204	0.5964937	0.9514338
100	0.2567534	1.0000000	0.4262808	0.8000046	0.2019076	0.1443143	0.2653205	0.3362621	0.5615649	0.8796244
150	0.2086346	1.0000000	0.4100941	0.8587329	0.1229278	0.0645348	0.1680989	0.3486037	0.5079325	0.8249744
200	0.1895400	1.0000000	0.3765653	0.9176467	0.0693390	0.0310445	0.1290137	0.3682572	0.4581968	0.7903139
250	0.1822272	1.0000000	0.3401529	0.9566879	0.0412091	0.0174511	0.1163752	0.3896244	0.4221376	0.7701424
300	0.1794584	1.0000000	0.3123744	0.9784644	0.0283478	0.0119892	0.1127645	0.4079302	0.3992732	0.7589711
350	0.1784141	1.0000000	0.2949409	0.9896443	0.0229237	0.0097999	0.1113240	0.4212712	0.3858575	0.7529782
400	0.1780206	1.0000000	0.2851658	0.9951252	0.0207467	0.0089223	0.1101874	0.4299590	0.3783514	0.7498331
450	0.1778725	1.0000000	0.2800477	0.9977375	0.0198997	0.0085701	0.1091399	0.4351899	0.3742800	0.7482083
500	0.1778167	1.0000000	0.2774831	0.9989600	0.0195764	0.0084286	0.1082763	0.4381725	0.3721188	0.7473787
550	0.3016067	1.0000000	0.2762355	0.9995251	0.0274370	0.2835786	0.3022346	0.4389352	0.3853385	0.7955252
600	0.4089300	1.0000000	0.2756415	0.9997628	0.0939705	0.4825735	0.5129318	0.4265028	0.4459551	0.8671236
650	0.4570458	1.0000000	0.2754467	0.9976791	0.1874699	0.5297339	0.6084248	0.3987288	0.5106427	0.9216682
700	0.4761392	1.0000000	0.2773147	0.9754314	0.2509394	0.5215657	0.6279336	0.3716768	0.5541470	0.9562761
750	0.4834516	1.0000000	0.2885881	0.9192032	0.2783052	0.5091056	0.6213141	0.3533962	0.5779067	0.9764216
800	0.4862203	1.0000000	0.3158125	0.8541822	0.2855297	0.5036931	0.6132892	0.3431250	0.5897892	0.9875801
850	0.4872646	1.0000000	0.3535365	0.8062430	0.2858970	0.5027992	0.6098400	0.3378450	0.5957835	0.9935666
900	0.4876580	1.0000000	0.3888574	0.7805438	0.2852202	0.5031084	0.6097692	0.3351820	0.5990018	0.9967086
950	0.4878061	1.0000000	0.4134204	0.7706386	0.2848554	0.5032130	0.6109517	0.3337996	0.6008044	0.9983318
1000	0.4878619	1.0000000	0.4266706	0.7688030	0.2847029	0.5029432	0.6121814	0.3330556	0.6017949	0.9991607

0	0.4878955	1.0000000	0.4291780	0.7764117	0.2831452	0.5009001	0.6151227	0.3323244	0.6024894	1.0000000
50	0.5183190	0.6901710	0.2975280	0.7450813	0.4528741	0.5006280	0.6069164	0.3244010	0.7305133	1.0000000
100	0.6663283	0.3972770	0.2343149	0.5916571	0.6326127	0.4970987	0.5689337	0.2961304	0.8546082	1.0000000
150	0.8227438	0.2619976	0.2848292	0.4276602	0.7261469	0.4910174	0.5261465	0.2713642	0.9169138	1.0000000
200	0.9157958	0.2099668	0.3496305	0.3397097	0.7660936	0.4876216	0.4967385	0.2575300	0.9443082	1.0000000
250	0.9599212	0.1915336	0.3874641	0.3233469	0.7815667	0.4871246	0.4806839	0.2510464	0.9558512	1.0000000
300	0.9789451	0.1852895	0.4037735	0.3410720	0.7872960	0.4878034	0.4730227	0.2482266	0.9606568	1.0000000
350	0.9867918	0.1832308	0.4091672	0.3648808	0.7894318	0.4885965	0.4696893	0.2470376	0.9626619	1.0000000
400	0.9899524	0.1825636	0.4098973	0.3832429	0.7902793	0.4891671	0.4683359	0.2465408	0.9635066	1.0000000
450	0.9912068	0.1823499	0.4090264	0.3942864	0.7906506	0.4895046	0.4678135	0.2463329	0.9638671	1.0000000
500	0.9916994	0.1822819	0.4079486	0.3997142	0.7908289	0.4896830	0.4676172	0.2462451	0.9640231	1.0000000
550	0.9819802	0.4920894	0.6284690	0.4236917	0.6192658	0.4897458	0.4713262	0.2506954	0.8353489	1.0000000
600	0.8916863	0.7849767	0.7341093	0.5209549	0.4374719	0.4894704	0.4954728	0.2714907	0.7105772	1.0000000
650	0.7438863	0.9202539	0.6866482	0.6252512	0.3423358	0.4891108	0.5347656	0.2962804	0.6478241	1.0000000
700	0.6245059	0.9722841	0.6029473	0.6978490	0.3009981	0.4894847	0.5711110	0.3141678	0.6201079	1.0000000
750	0.5535878	0.9907171	0.5309699	0.7430070	0.2847552	0.4909147	0.5956237	0.3242520	0.6084311	1.0000000
800	0.5174710	0.9969611	0.4807683	0.7696638	0.2791831	0.4929225	0.6090412	0.3291905	0.6037309	1.0000000
850	0.5006339	0.9990198	0.4494201	0.7836094	0.2779536	0.4948424	0.6152277	0.3313856	0.6020139	1.0000000
900	0.4932134	0.9996870	0.4316876	0.7891852	0.2783384	0.4963598	0.6175277	0.3322702	0.6015291	1.0000000
950	0.4900655	0.9999007	0.4229847	0.7898923	0.2791725	0.4974738	0.6180144	0.3325738	0.6015116	1.0000000
1000	0.4887660	0.9999686	0.4197940	0.7882932	0.2800028	0.4982865	0.6177815	0.3326395	0.6016414	1.0000000

0	0.4878955	1.0000000	0.4291780	0.7764117	0.2831452	0.5009001	0.6151227	0.3323244	0.6024894	1.0000000
50	0.4878955	1.0000000	0.4301935	0.7513718	0.4531149	0.3202046	0.6096891	0.2823591	0.5978602	1.0000000
100	0.4878955	1.0000000	0.4519974	0.6566789	0.6191972	0.1567719	0.5809161	0.2556394	0.5720111	1.0000000
150	0.4878955	1.0000000	0.5007168	0.5789643	0.6941944	0.0789927	0.5434967	0.2554619	0.5344560	1.0000000
200	0.4878955	1.0000000	0.5450292	0.5523461	0.7212350	0.0460920	0.5131162	0.2649517	0.5019399	1.0000000
250	0.4878955	1.0000000	0.5683816	0.5603339	0.7299128	0.0327111	0.4925052	0.2756688	0.4802153	1.0000000
300	0.4878955	1.0000000	0.5738211	0.5787681	0.7324589	0.0273833	0.4793443	0.2841063	0.4676710	1.0000000
350	0.4878955	1.0000000	0.5697701	0.5935301	0.7331310	0.0253054	0.4710870	0.2896205	0.4610386	1.0000000
400	0.4878955	1.0000000	0.5634336	0.6006091	0.7332779	0.0245189	0.4659852	0.2928173	0.4577273	1.0000000
450	0.4878955	1.0000000	0.5588382	0.6015622	0.7332954	0.0242360	0.4629147	0.2945243	0.4561403	1.0000000
500	0.4878955	1.0000000	0.5569669	0.5995967	0.7332889	0.0241433	0.4611299	0.2953837	0.4554040	1.0000000
550	0.4878955	1.0000000	0.5570249	0.5979552	0.5016650	0.2252091	0.4631356	0.3498902	0.4639113	1.0000000
600	0.4878955	1.0000000	0.5567572	0.6135600	0.2978480	0.4062417	0.4883957	0.3751636	0.5029481	1.0000000
650	0.4878955	1.0000000	0.5457111	0.6833312	0.2448907	0.4879284	0.5356992	0.3685380	0.5461185	1.0000000
