YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.5000001	0.5889752	0.8847939	0.4121913	0.3973418	0.6774484	0.6603044	0.1052997	0.9999983	0.0317035
1.0000000	0.4544384	0.8848572	0.4121477	0.3973537	0.6774469	0.6603101	0.1053059	0.9999983	0.0317013
1.0000000	0.6265237	0.4423461	0.4123455	0.3972782	0.6774503	0.6604106	0.1052460	0.9995662	0.1301356
1.0000000	0.9234316	0.9525126	0.2888461	0.3393024	0.6295899	0.7128040	0.0830763	0.9999990	0.0276880
1.0000000	0.7484387	0.5536062	0.8253410	0.2550257	0.7688730	0.7943053	0.0545869	0.9999300	0.0816089
1.0000000	0.6290390	0.4442720	0.9855739	0.1386496	0.4024090	0.8923682	0.0265254	0.9995811	0.1290080
1.0000000	0.9311306	0.9959618	0.1137962	0.6187787	0.8650218	0.2530568	0.1979111	0.9999992	0.0255991
1.0000000	0.8932331	0.8265654	0.4934577	0.3675752	0.6533294	0.8191882	0.0468240	0.9999971	0.0360385
1.0000000	0.8947130	0.8327014	0.4843742	0.3705268	0.6554075	0.8002873	0.0526873	0.4999986	0.0356101
1.0000000	0.9087416	0.8847496	0.4121471	0.3973540	0.6774469	0.6603096	0.1053062	0.9999999	0.0158542
