YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1726104	1.0534890	0.4862045	0.7895796	0.9262467	0.3192199	0.3109742	0.8933940	1.0198398	1.0227783
0.2150421	0.9590246	0.0997200	0.2543805	0.2453860	0.0421435	0.6310917	0.7298702	1.0744290	1.0292438
0.1207082	0.9337601	0.1239528	0.3087317	0.9815880	0.2310133	0.5506290	0.7673455	0.8954774	0.9773704
0.5931851	1.0098721	0.2464527	0.4794334	0.7972309	0.1243585	0.4186879	0.6713271	0.5837241	0.8564191
0.3835233	0.9836729	0.2620521	0.5316382	0.9177002	0.2557748	0.3772621	0.8031810	0.7954117	0.8584764
0.3525579	0.9681243	0.1583000	0.2440626	0.9117731	0.2660529	0.4677783	0.7909853	0.5830765	0.9912758
0.3825405	1.1127961	0.7257440	0.7943378	0.7489475	0.1674420	0.1932246	0.7302772	0.7128681	0.6393932
0.1474871	1.0956856	0.0998775	0.4182838	0.8303370	0.2865004	0.5192941	0.6991948	0.9818906	1.0227152
0.2229341	0.9612285	0.1241787	0.1241787	1.0286919	0.3166643	0.4860035	0.8026923	0.7713980	1.0701762
0.2168083	0.9153942	0.1201028	0.2465687	0.7070583	0.1495261	0.5330478	0.7728284	0.7847530	0.8487536
