YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.9789134	0.8813763	0.8332759	1.0000000	0.0004423	0.2567239	1.0000000	0.0005323	0.9849286	0.5083247
0.9982931	0.9354902	0.8332761	1.0000000	0.0040497	0.3527476	0.7826794	0.0002241	0.9932407	0.7374213
0.9974400	0.8191147	0.7041529	0.7045923	0.0004423	0.2567239	1.0000000	0.0459025	0.9791392	0.4503017
0.9778240	0.7776363	0.6517040	0.6749722	0.0005667	0.2659956	0.9743492	0.1077264	0.9946063	0.8578675
0.9985284	0.9439304	0.8777336	0.9602323	0.0000644	0.1928194	1.0000000	0.1189176	0.9980194	0.8042054
0.9987465	0.9469017	0.8332761	1.0000000	0.0004830	0.2600245	0.8631762	0.0768385	0.9954840	0.6795569
0.9988572	0.9624258	0.8733077	0.9583085	0.2824131	0.1688288	1.0000000	0.1419426	0.9872763	0.5459407
0.9793820	0.9497527	0.8655124	0.9987060	0.0997093	0.2843820	0.9270325	0.1050040	0.9980473	0.8662067
0.9983150	0.9170246	0.8739844	1.0000000	0.0002841	0.2407694	0.9847189	0.0957273	0.9983055	0.9133746
0.9787237	0.8589173	0.6740736	0.7491483	0.0268101	0.2567239	1.0000000	0.1393955	0.9930936	0.7295826
