YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0576251	0.4349093	0.6459854	0.5281411	0.8979604	0.1758072	0.1043372	0.0987860	0.0805293	0.2729851
0.0886443	0.3334794	0.5875049	0.4912378	0.9431137	0.1065191	0.0897429	0.0685415	0.0704065	0.2122373
0.0908513	0.0491391	0.3311468	0.5232424	1.0056471	0.1285931	0.1129160	0.0643073	0.0695792	0.3126144
0.1014913	0.0654449	0.3345867	0.2428313	1.0074820	0.1529905	0.1014283	0.0948070	0.0069047	0.0840765
0.4759902	0.7666924	0.7560333	0.8724520	0.3775840	0.2362555	0.1953839	0.3553705	0.4785851	0.6605358
0.1050387	0.4584793	0.6362781	0.6333326	1.0870060	0.0668047	0.1147529	0.0838152	0.0552416	0.2526322
0.1043156	0.4261132	0.5938864	0.6109415	0.9664843	0.1119398	0.0468027	0.0878145	0.0271905	0.1948363
0.0616931	0.3684137	0.6108983	0.5073417	0.9112814	0.1279309	0.0951161	0.0430114	0.1240319	0.3408748
0.1310794	0.4063621	0.6356978	0.5835561	0.9309651	0.1352028	0.1099653	0.0597474	0.0329407	0.3352492
0.1007914	0.4701927	0.6572980	0.6202774	0.9829777	0.1566079	0.1061584	0.0513224	0.0135032	0.1611896
