YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.3104094	0.2469801	0.5709839	0.7118759	0.4420904	0.7614293	0.1778665	0.6697254	0.0008886	0.9211605
0.2941569	0.2934607	0.3384990	0.8850546	0.1522059	0.8408729	0.1475380	0.7833420	0.0053687	0.5080457
0.1117284	0.1548900	0.5606435	0.7694204	0.2041940	0.6656427	0.1595243	0.6388117	0.0974178	0.7579941
0.4095859	0.3050929	0.4936720	0.4875664	0.2070458	0.2682349	0.1134153	0.6260747	0.0760092	0.6560469
0.4139547	0.4714063	0.4261543	0.7030514	0.2059907	0.5419650	0.0951639	0.7983770	0.0951585	0.7438994
0.2696085	0.6171441	0.2626456	0.6264807	0.1474990	0.7194063	0.2458878	0.5983636	0.0744357	0.9167084
0.1231963	0.2242156	0.5786002	0.6519781	0.3560068	0.4467355	0.1706443	0.8167122	0.0517915	0.7620111
0.2594169	0.4805837	0.2961340	0.6446435	0.1414283	0.6493725	0.1178769	0.8133726	0.0454468	0.6605414
0.3039430	0.3914580	0.4839381	0.4981547	0.1722728	0.4509118	0.1826154	0.6121162	0.0000656	0.8198246
0.1512630	0.0876565	0.5916333	0.7160123	0.1681311	0.5974616	0.1529517	0.7634869	0.0016924	0.7615886
