YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.1731294	0.7981771	0.5499075	0.5434117	0.5042632	0.5644298	0.6861716	0.0210977	0.0793225	0.7406828
0.6954816	0.4133804	0.4320824	0.5413234	0.4576014	0.6877189	0.7545530	0.0314537	0.1306272	0.7794337
0.7033789	0.2695817	0.2410544	0.6750529	0.5398175	0.7093190	0.6872495	0.0282155	0.1273050	0.8900308
0.3380607	0.7869383	0.6596964	0.2669961	0.4564020	0.5885700	0.8297924	0.0269908	0.1588459	0.7223688
0.4548036	0.7186749	0.5496918	0.3941807	0.2239580	0.7047477	0.7372436	0.0293043	0.1336553	0.8654362
0.4410767	0.6732345	0.4704158	0.7114657	0.4516075	0.2623152	0.7275744	0.0558780	0.2197393	0.7083906
0.4161427	0.7616780	0.5922420	0.2028544	0.1164222	0.5886404	0.3405203	0.0320641	0.1430821	0.6659874
0.4531887	0.6414166	0.4381977	0.7110510	0.3519266	0.9070149	0.8887541	0.0127244	0.1949365	0.8026774
0.4747616	0.6595134	0.4788099	0.8458477	0.6436161	0.6112857	0.8103119	0.0279030	0.1186025	0.7190260
0.5404989	0.7534249	0.5232289	0.3263051	0.1905935	0.5953301	0.6196855	0.1924858	0.3805283	0.3440484
