YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0386303	0.9005632	0.8591428	0.0503260	0.2617448	0.2824412	0.5655278	0.0159429	0.9042849	0.8942138
0.3716284	0.8833165	0.9508337	0.0762561	0.0295781	0.1717917	0.6754015	0.0138415	0.7925722	0.9587194
0.0534325	0.9546018	1.0012499	0.0132825	0.2570611	0.4222308	0.5656296	0.0555449	0.7764980	0.8586332
0.0250809	0.9391389	0.7770600	0.0001917	0.1820656	0.4131646	0.3782365	0.0691074	0.9047915	0.9594278
0.3186491	0.4540748	0.5488768	0.2972565	0.2478097	0.4969779	0.5925734	0.0775200	0.8523375	1.0924626
0.0066306	0.8521402	0.8501291	0.0141597	0.2738550	0.5167937	0.5756406	0.0768099	0.9183612	1.0632644
0.0278241	0.9038236	0.9081499	0.1109290	0.3552764	0.5972965	0.3527971	0.0044072	0.8138027	0.7075171
0.7302316	0.0347936	0.1674772	0.4877833	0.1790523	0.3955235	0.8457162	0.0581001	0.8904216	1.0643898
0.0179646	0.8635892	0.8276655	0.0035882	0.2806735	0.5036063	0.6706994	0.0708892	0.8396720	0.7465500
0.0310578	0.8217325	0.8247990	0.1236741	0.2134178	0.3800889	0.5948299	0.0554636	1.0277485	1.0907137
