YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.3805443	1.0213302	1.0224562	0.0702112	0.1265301	0.2350828	0.9923487	1.0573145	0.1378542	1.0390893
0.4112887	0.5147284	0.9963486	0.0671054	0.1130686	0.2005410	1.1128104	1.0216886	0.1280377	1.0020921
0.7303908	0.9716564	0.5233075	0.1041784	0.1057995	0.2882284	0.9854796	1.0080698	0.0962833	1.0091660
0.7049405	1.0208089	0.9954151	0.0209716	0.0876708	0.1854843	1.0173695	1.0427334	0.0948098	1.0313400
0.7493100	1.0253936	1.0859609	0.1041107	0.0660378	0.1634236	1.0140706	1.0814883	0.0947524	0.9767860
0.7523984	1.0686378	1.0432034	0.1347292	0.3451609	0.1386838	0.9514003	1.0939620	0.1011423	1.0388683
0.7042628	1.0717140	1.0369896	0.0873903	0.1097239	0.8641781	0.4492921	1.0231416	0.1171728	0.9063412
0.7694566	0.9847611	1.0783139	0.0893727	0.1331907	0.1773567	1.0166576	0.5120423	0.1147775	1.0814866
0.6715895	1.0266636	1.0312019	0.1043408	0.1082678	0.2083162	0.9954095	1.0106648	0.0504297	1.0033705
0.7624316	0.9745827	1.0033359	0.0772457	0.1153042	0.1723330	1.0645122	0.9952174	0.1810090	0.5182561
