YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000003	0.0760020	0.6887566	0.6929384	0.7574021	0.5462876	0.4501803	0.8052664	0.9829626	0.0362903
0.9999989	0.0000005	0.6887579	0.6929404	0.7574044	0.5462867	0.4501797	0.8052668	0.9829628	0.0362902
0.3586905	1.0000000	0.0000000	0.5689236	0.5384191	0.7418041	0.9750664	0.1002585	0.3423536	1.0000000
0.9367509	0.0760020	0.6887587	0.0000028	0.7574059	0.5462862	0.4501793	0.8052671	0.9829629	0.0362901
0.9366436	0.0761102	0.4687199	0.1198110	0.0000001	0.5497156	0.4563055	0.7934083	0.9631064	0.0630254
0.9367562	0.0759966	0.7467635	0.7801382	0.9999995	0.0000002	0.4497760	0.8061004	0.9844574	0.0339939
0.9367561	0.0759966	0.7467213	0.7800882	0.9998725	0.0492059	0.0000000	0.8060578	0.9844392	0.0340020
0.9367398	0.0760132	0.6217512	0.5645159	0.5324844	0.7472809	1.0000000	0.0000000	0.9802489	0.0403248
0.9367398	0.0760132	0.6219474	0.5649421	0.5330748	0.7467283	0.9974360	0.0297907	0.0000000	0.0403082
0.9367509	0.0760019	0.6893791	0.6939764	0.7602566	0.5432780	0.4450754	0.8150089	0.9999999	0.0000001
