YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.7650068	0.8064053	0.2872521	0.0657449	0.9868412	0.3287147	0.5449919	0.3910493	0.6441293	0.0461425
0.6214891	0.7643039	0.4271093	0.0671175	0.9266337	0.5471086	0.0692326	0.2495846	0.4847142	0.0686282
0.7097198	0.7360425	0.1830334	0.0444212	0.7404128	0.5957138	0.5636177	0.5607610	0.4466646	0.0422400
0.7689236	0.7088731	0.3928252	0.0586342	0.5713081	0.3205861	0.6798509	0.6329250	0.4407096	0.0700222
0.7108763	0.9098661	0.3531386	0.0788257	0.5585709	0.2576882	0.8118074	0.5304797	0.2434551	0.0065722
0.6836607	0.7080697	0.1916636	0.0748272	0.7295578	0.2372775	0.6890942	0.3401232	0.6449082	0.0001650
0.6665713	1.0179105	0.2889928	0.0609566	0.9269814	0.7415654	0.2464856	0.3440696	0.4113395	0.0058473
0.8301631	0.6231253	0.2068811	0.0420168	0.7206373	0.2606009	0.5539244	0.6483484	0.5210731	0.0010765
0.6686546	0.7329169	0.2536629	0.0576999	0.6994331	0.6162228	0.4455919	0.4888006	0.3949456	0.0037421
0.7145113	0.7798679	0.3405748	0.0763368	0.7853182	0.7417166	0.3461527	0.4889341	0.4099469	0.0378925
