"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	1.0445911	1.0356403	1.0216033	0.1812135	0.0883332	1.0271553	0.7878429	0.4980155	0.4919947	0.6549071
50	1.0287981	0.9863041	0.9991820	0.2100938	0.0627377	0.9827638	0.5254472	0.5329481	0.3916290	0.7101672
100	0.9567141	0.9802923	0.9741948	0.2218065	0.0833609	0.9212761	0.2888627	0.5133972	0.2931634	0.5725784
150	1.0095871	1.0486579	0.9908562	0.1980134	0.1328575	0.9066496	0.1656827	0.5372924	0.3105537	0.6597792
200	1.1282759	1.0575665	1.0126748	0.2296981	0.1536871	0.9500031	0.1621031	0.5593390	0.3002556	0.5650639
250	0.9473393	0.8917591	0.9284699	0.3077486	0.1343026	0.9204035	0.1599050	0.5624201	0.2915394	0.5672694
300	0.9330829	0.8963725	0.9721447	0.2681245	0.1495808	0.9501374	0.1769719	0.5715109	0.3512564	0.5623722
350	0.9148114	0.9752399	0.9883423	0.2468606	0.1462807	0.9687731	0.1490980	0.6347310	0.3286348	0.5782609
400	1.0177803	0.9547445	0.9686846	0.2331337	0.1683744	1.0130190	0.0988998	0.6555565	0.3275848	0.6221427
450	0.9759579	0.9767923	0.9986522	0.2668267	0.1803247	1.0101773	0.1244253	0.6375593	0.2924465	0.5319715
500	0.9937275	1.0088954	1.0221584	0.2642026	0.1825011	1.0194296	0.1209632	0.6003092	0.3622159	0.5028292
550	1.0163315	0.9335961	1.1281057	0.3263546	0.1467606	0.9875761	0.2984457	0.6519608	0.5718525	0.5484622
600	1.0283956	0.8387042	1.0380474	0.2765657	0.0643513	0.9608156	0.5868836	0.5858191	0.5590881	0.6553194
650	0.8887111	0.9821623	1.0259837	0.2395002	0.0579373	0.9983116	0.5597772	0.5513456	0.5866710	0.6278271
700	0.9363862	1.0278375	1.0874472	0.2172807	0.0661493	0.9099135	0.7092075	0.5166199	0.5967014	0.6471515
750	0.9432602	0.9504054	1.0473042	0.2382973	0.0415403	1.0514043	0.7913553	0.4820931	0.5558670	0.6657470
800	0.9325477	0.8843483	0.8799296	0.2794603	0.0481154	1.1134474	0.6918548	0.4696267	0.5852791	0.6706684
850	0.9872574	0.9967300	1.0095574	0.2382830	0.0615843	0.9927260	0.6815492	0.4725036	0.5152557	0.7162055
900	1.0084740	0.9783248	0.9726754	0.2505983	0.0707265	0.8849457	0.6956360	0.5170086	0.4843844	0.6577361
950	1.0705507	1.0045206	1.0110331	0.2309599	0.0990285	0.9654210	0.6543048	0.4871975	0.4939354	0.7065622
1000	1.0373752	1.0064211	1.0068175	0.2538965	0.0694066	0.9490022	0.6968904	0.5561114	0.5075572	0.7152985

0	1.0445911	1.0356403	1.0216033	0.1812135	0.0883332	1.0271553	0.7878429	0.4980155	0.4919947	0.6549071
50	1.0507995	0.9312087	0.9985040	0.2177921	0.0646533	0.9467964	0.6756845	0.5121689	0.3763208	0.7189843
100	1.0972034	0.9186040	1.1178404	0.2251776	0.1106336	0.9967795	0.6653978	0.4849599	0.3531380	0.5609548
150	1.0190756	0.9493651	1.1271701	0.2417562	0.1343225	0.9822843	0.6904530	0.5012791	0.4731098	0.7311152
200	1.0293508	0.8851276	1.0444665	0.2062756	0.1123274	0.9291135	0.6533259	0.5340687	0.2687789	0.7070077
250	1.0165264	1.0951520	0.9739651	0.2319038	0.1788457	0.9130596	0.6004862	0.6232910	0.2979698	0.7263249
300	0.9731733	0.9553782	1.0153308	0.2044230	0.2026992	1.0571236	0.5426131	0.5956028	0.2627544	0.6984922
350	0.9499387	0.9679059	1.0081433	0.1840739	0.2663997	1.0031894	0.4637841	0.6777027	0.2483468	0.7480731
400	1.0097682	0.9658564	0.9516752	0.1830954	0.2955806	0.9621739	0.4828836	0.6852861	0.2937664	0.6952368
450	0.9412569	1.0469425	0.9432161	0.1904730	0.2205092	0.9755739	0.4334859	0.6457901	0.3212174	0.6770250
500	1.0019783	0.9985520	0.9016575	0.2202088	0.2127438	0.9958117	0.4899961	0.6378491	0.4092862	0.6637039
550	0.9865790	1.0774181	0.8902318	0.2703705	0.1377077	0.9634276	0.5906419	0.5175738	0.4516759	0.6854555
600	0.9770112	0.9943540	0.8935931	0.2612786	0.1415651	1.0326870	0.6760608	0.5810083	0.4031944	0.6184463
650	1.0851047	0.9812420	0.9064153	0.2746224	0.0911536	0.9609883	0.7018588	0.5129007	0.4697286	0.6705886
700	1.0109012	0.9642411	0.9142816	0.2377970	0.0752125	1.0251131	0.7369893	0.4915207	0.5650166	0.7339524
750	0.9971359	1.0038545	0.9564511	0.2087813	0.0752164	0.9902800	0.7522157	0.5430868	0.4989702	0.6278920
800	0.9922105	1.0015137	1.0274709	0.2327196	0.0567035	0.9635385	0.6479162	0.5787103	0.5955931	0.6537526
850	0.8933100	1.0527809	0.9739456	0.2638085	0.0563555	0.9790096	0.6744788	0.4748608	0.5419087	0.5786333
