YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.5750432	0.4751551	0.0448308	0.4095102	0.3139690	0.3807390	0.9741218	0.0345102	0.9975446	0.1311095
0.3898079	0.5893736	0.7043654	0.0388652	0.1062262	0.4295379	0.9391213	0.5585682	0.7706670	0.2733879
0.3383148	0.6880683	0.5735330	0.0822292	0.1498740	0.3918405	1.0041047	0.3848792	0.7176326	0.4836265
0.5938179	0.2539779	0.9348895	0.0955310	0.1612963	0.5964318	0.6887831	0.2749024	0.8971514	0.3546455
0.5685972	0.3236181	0.9320674	0.0306559	0.1289325	0.5907574	0.4747881	0.4750031	0.4134471	0.3909048
0.2424934	0.7559111	0.0540250	0.4293549	0.3792373	0.4166904	1.0532523	0.0388526	0.7429767	0.0822204
0.0607636	0.9019899	0.0377593	0.7257839	0.4230947	0.6089013	0.5023405	0.0808816	0.7827336	0.2982785
0.1646081	0.9054394	0.0651656	0.3915092	0.2986112	0.4046597	0.9793763	0.1363833	0.8193580	0.3466061
0.2429264	0.8110361	0.0660182	0.3768864	0.2238876	0.5200635	0.7448657	0.2556409	0.8635871	0.3902157
0.1121544	0.9085141	0.0601136	0.5495416	0.3642532	0.2655769	0.9768938	0.0840189	0.8831362	0.3850061
