YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.7347523	0.5021649	0.4339374	0.7642199	0.4759945	0.9339245	0.1990558	0.5443926	0.8624784	1.0000000
0.8029002	0.5988169	0.3386019	0.6087949	0.5595061	0.8312895	0.3749513	0.4925156	0.8702625	0.8811163
0.3930419	0.2870144	0.3336326	0.5928902	0.5529912	0.9503531	0.1657136	0.5466194	0.9494590	1.0000000
0.8950763	0.5418260	0.4054384	0.7921326	0.4302264	0.8254085	0.3842129	0.5192936	0.9572507	1.0000000
0.8778748	0.5202818	0.5735623	0.6407862	0.4461946	0.8618564	0.3253000	0.4965024	0.9543750	0.8612937
0.8968296	0.6074911	0.4631789	0.7747431	0.4580503	0.8894879	0.2790932	0.4479582	0.8471296	0.9371535
0.2144086	0.2320764	0.4778006	0.8095503	0.2867337	0.5434918	0.6201241	0.3649284	0.3561569	0.2749887
0.9435561	0.6439650	0.3541677	0.5144600	0.6718502	0.8905492	0.2772460	0.4502115	0.8575694	0.9782775
0.8406697	0.6927752	0.2216883	0.4259024	0.2884352	0.4894989	0.2690179	0.4577047	0.8962288	0.8659124
0.7868279	0.5698008	0.4901877	0.4556818	0.2988947	0.5645591	0.2723457	0.4739907	0.8070214	0.8214031
