"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.7763634	0.4524537	0.5749907	0.4990047	0.3785700	0.1462164	0.2868574	0.8449608	0.6009417	0.8184709
50	0.7852866	0.4193135	0.5350508	0.4917214	0.2225659	0.2176484	0.2340688	0.4103873	0.5743159	0.6270971
100	0.9501704	0.4949332	0.4603901	0.4672034	0.3462715	0.3815441	0.3559418	0.3488357	0.5976811	0.6472579
150	0.7562809	0.5611221	0.5713231	0.4543596	0.4722792	0.4106003	0.4314125	0.4399562	0.6194400	0.6295831
200	0.8563841	0.4989974	0.5062452	0.5420508	0.5176208	0.5289192	0.5526913	0.2320561	0.5713830	0.5760951
250	0.7321474	0.4125728	0.4638369	0.5934902	0.5632517	0.5352917	0.5737173	0.4042504	0.8008826	0.5979503
300	0.7043567	0.5171977	0.5127299	0.3787547	0.7909879	0.5217291	0.7057927	0.4019279	0.7428720	0.5622805
350	0.7579084	0.4096386	0.4930874	0.4285386	0.7156282	0.5807451	0.7196029	0.3165710	0.7630638	0.5588274
400	0.7582880	0.3404626	0.3941891	0.4766595	0.7737050	0.6437083	0.6078635	0.3188011	0.6163046	0.5726157
450	0.8489030	0.4177694	0.3943837	0.3673823	0.8332838	0.5655566	0.7574220	0.3493061	0.6906927	0.6288390
500	0.7267951	0.4365197	0.4858719	0.2926924	0.7944838	0.5761967	0.7615050	0.3994420	0.7382723	0.6197226
550	0.7722883	0.3216018	0.3781479	0.3244055	0.6460995	0.4936260	0.6308066	0.5382938	0.6840122	0.6758730
600	0.7910641	0.3839747	0.3443020	0.3162304	0.5472746	0.3856937	0.5664388	0.5634420	0.8326996	0.5803046
650	0.6797175	0.2358089	0.5149098	0.2820097	0.5544630	0.3245974	0.3941476	0.4829304	0.6720294	0.6667951
700	0.7727034	0.3673413	0.5650793	0.3184205	0.5826001	0.3688421	0.2877206	0.4922312	0.7031231	0.7130990
750	0.7699293	0.3295783	0.4327644	0.3546202	0.6563650	0.2918621	0.3996057	0.6502444	0.6053795	0.7611962
800	0.8004695	0.3329249	0.4097002	0.3847634	0.5747378	0.3080398	0.2711677	0.7186744	0.7564706	0.7382250
850	0.8401067	0.3055134	0.4216872	0.3975299	0.5373429	0.2169273	0.2285034	0.6087683	0.6879942	0.8048084
900	0.7914701	0.3861184	0.5281890	0.3975326	0.5321472	0.1793815	0.3120050	0.5142992	0.6486589	1.0058105
950	0.7963425	0.3494834	0.5234550	0.3873239	0.4714713	0.2211928	0.3609363	0.5438238	0.6838149	0.7495997
1000	0.7738753	0.4290198	0.6120540	0.5596555	0.3768236	0.1836096	0.3585531	0.7357227	0.6481926	0.7324936

0	0.6903573	0.5066985	0.5866663	0.5106942	0.2390641	0.1515699	0.2389901	0.8794980	0.5582919	0.7045782
50	0.7050027	0.3935717	0.8101160	0.6113607	0.2443218	0.0525776	0.0964688	0.7245950	0.5453583	0.7049983
100	0.7953736	0.4596219	0.5940636	0.6379119	0.1040205	0.0159693	0.0871550	0.6046078	0.5335412	0.7633128
150	0.7448379	0.5153512	0.6797071	0.6858801	0.1416600	0.0138681	0.0769514	0.7887397	0.5568668	0.6593289
200	0.8550084	0.5269764	0.5886161	0.5647614	0.0690005	0.0057242	0.0779769	0.7124146	0.5028949	0.8080495
250	0.7226129	0.5793467	0.5280879	0.7054176	0.0881058	0.0113381	0.0762719	0.6449841	0.5341652	0.8101488
300	0.8293423	0.6541759	0.7012716	0.7289579	0.0550034	0.0060740	0.0455365	0.6663182	0.5146944	0.8729015
350	0.6870376	0.6814504	0.7081169	0.7207410	0.0824535	0.0082878	0.0655786	0.6778437	0.5154319	0.7502392
400	0.7676999	0.6200650	0.7918552	0.7651379	0.0570602	0.0165367	0.1042968	0.5483745	0.5266024	0.7228406
450	0.7073282	0.5597986	0.6525698	0.6587569	0.0346142	0.0098913	0.0626223	0.6065348	0.4980680	0.8051879
500	0.8522473	0.6007784	0.8081975	0.6863953	0.0569007	0.0062691	0.0482375	0.5919721	0.4505711	0.7794553
550	0.6883340	0.5156493	0.6869894	0.6844383	0.0463266	0.0113437	0.1735124	0.6322290	0.4752713	0.7336302
600	0.8343825	0.3705384	0.6443954	0.6340760	0.0898513	0.0269849	0.2363889	0.7187647	0.3528527	0.7264169
650	0.7716096	0.4816948	0.6528352	0.6019110	0.0497754	0.0538911	0.3070482	0.5836685	0.2830420	0.9399449
700	0.7217782	0.3639942	0.7104281	0.6986459	0.0661550	0.1018119	0.2633465	0.6169379	0.3112783	0.7274033
750	0.7262596	0.4062484	0.5881041	0.5623265	0.1581500	0.1077006	0.2546519	0.5331179	0.2658181	0.7860095
800	0.8343651	0.3225995	0.6556622	0.4892023	0.2096227	0.1424794	0.2233433	0.6097375	0.3891065	0.7195571
850	0.6816081	0.4094380	0.7303963	0.5600762	0.2310829	0.0716648	0.2004943	0.7604354	0.5321362	0.7644913
900	0.7771967	0.4062567	0.6181480	0.6432579	0.3149829	0.1155032	0.2422746	0.6923760	0.4393626	0.8170696
950	0.6420063	0.4039007	0.6108357	0.5008057	0.3246130	0.1107800	0.1693763	0.5811451	0.5848277	0.8004333
1000	0.6532267	0.3040078	0.5758761	0.4358802	0.2587799	0.1509561	0.2787658	0.6874237	0.4957021	0.7211748

0	0.7851334	0.4996446	0.4820048	0.5115352	0.2648965	0.1300831	0.2192074	0.7540372	0.5831956	0.7060227
50	0.7650366	0.3287975	0.6693566	0.6055022	0.3035023	0.2924854	0.1532173	0.4510635	0.6329361	0.7331828
100	0.9813312	0.3097298	0.6724268	0.5717504	0.5498283	0.5626679	0.1528104	0.3755797	0.7264027	0.6716740
150	0.7163559	0.4090073	0.7482798	0.4357085	0.7648682	0.7329551	0.2179865	0.3330335	0.6147462	0.6890775
200	0.6161089	0.3790408	0.6433078	0.3559625	0.8506028	0.7770066	0.2897576	0.4437063	0.7355833	0.6997875
