"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.6222110	0.2266308	0.4059412	0.6636377	0.7953217	0.2036852	0.9162788	0.4703236	0.7725641	1.0000000
50	0.6207329	0.2263073	0.5782871	0.6306693	0.8204447	0.1261958	0.9166684	0.4703236	0.7725641	1.0000000
100	0.5992328	0.2186060	0.7700260	0.5889959	0.8985491	0.0548968	0.9187214	0.4703236	0.7725641	1.0000000
150	0.5583873	0.1999962	0.8750874	0.5450729	0.9547907	0.0232023	0.9222087	0.4703236	0.7725641	1.0000000
200	0.5229921	0.1784801	0.9220048	0.5113175	0.9818646	0.0115469	0.9264373	0.4703236	0.7725641	1.0000000
250	0.5015211	0.1605145	0.9406115	0.4913645	0.9931200	0.0075982	0.9304085	0.4703236	0.7725641	1.0000000
300	0.4907310	0.1479018	0.9472945	0.4813188	0.9974757	0.0062989	0.9334455	0.4703236	0.7725641	1.0000000
350	0.4858830	0.1399387	0.9494467	0.4767466	0.9990935	0.0058640	0.9354406	0.4703236	0.7725641	1.0000000
400	0.4838576	0.1352568	0.9500376	0.4748018	0.9996792	0.0057086	0.9366143	0.4703236	0.7725641	1.0000000
450	0.4830529	0.1326409	0.9501512	0.4740132	0.9998876	0.0056473	0.9372513	0.4703236	0.7725641	1.0000000
500	0.4827446	0.1312340	0.9501452	0.4737045	0.9999609	0.0056206	0.9375767	0.4703236	0.7725641	1.0000000
550	0.4826302	0.1304993	0.7374747	0.5052417	0.9999327	0.0812423	0.9372513	0.4703236	0.7725641	1.0000000
600	0.4829213	0.1301865	0.5093735	0.5282722	0.9939535	0.1509186	0.9352293	0.4703236	0.7725641	1.0000000
650	0.4878380	0.1311095	0.3915710	0.5408835	0.9614387	0.1821431	0.9329088	0.4703236	0.7725641	1.0000000
700	0.5047928	0.1358912	0.3442486	0.5587978	0.9106055	0.1939137	0.9309183	0.4703236	0.7725641	1.0000000
750	0.5320898	0.1462852	0.3329701	0.5839802	0.8662828	0.1981741	0.9287992	0.4703236	0.7725641	1.0000000
800	0.5603530	0.1609180	0.3395716	0.6091983	0.8374250	0.1998804	0.9263044	0.4703236	0.7725641	1.0000000
850	0.5825535	0.1765228	0.3534494	0.6287674	0.8211408	0.2008120	0.9237229	0.4703236	0.7725641	1.0000000
900	0.5972352	0.1903255	0.3680401	0.6416665	0.8122530	0.2015154	0.9214664	0.4703236	0.7725641	1.0000000
950	0.6061152	0.2011137	0.3801006	0.6494795	0.8070708	0.2021049	0.9197469	0.4703236	0.7725641	1.0000000
1000	0.6114230	0.2089368	0.3888270	0.6541615	0.8036693	0.2025802	0.9185560	0.4703236	0.7725641	1.0000000

0	0.6222110	0.2266308	0.4059412	0.6636377	0.7953217	0.2036852	0.9162788	0.4703236	0.7725641	1.0000000
50	0.6241574	0.2273975	0.4012575	0.5997095	0.7799073	0.2036815	0.9170398	0.4725199	0.7931200	1.0000000
100	0.6330370	0.2315885	0.3785599	0.5601881	0.7640113	0.2034993	0.9194815	0.4850955	0.8154824	1.0000000
150	0.6434162	0.2386826	0.3526484	0.5523441	0.7563027	0.2031516	0.9192536	0.5035272	0.8277732	1.0000000
200	0.6504801	0.2458894	0.3358691	0.5532418	0.7536154	0.2031483	0.9149928	0.5198348	0.8334969	1.0000000
250	0.6540743	0.2514879	0.3280262	0.5548341	0.7524191	0.2038236	0.9087949	0.5310967	0.8359873	1.0000000
300	0.6559586	0.2553557	0.3252392	0.5560509	0.7504504	0.2050386	0.9029028	0.5378293	0.8370359	1.0000000
350	0.6577984	0.2582549	0.3247133	0.5575345	0.7469997	0.2064280	0.8983552	0.5414961	0.8374698	1.0000000
400	0.6604020	0.2610282	0.3252509	0.5597462	0.7424916	0.2076878	0.8952051	0.5433690	0.8376478	1.0000000
450	0.6637521	0.2641480	0.3264943	0.5626088	0.7377584	0.2086818	0.8930978	0.5442820	0.8377204	1.0000000
500	0.6673991	0.2676514	0.3282866	0.5657251	0.7334829	0.2094071	0.8916554	0.5447119	0.8377499	1.0000000
550	0.6689469	0.2705375	0.3354594	0.6326565	0.7450909	0.2099426	0.8893318	0.5428596	0.8172060	1.0000000
600	0.6629488	0.2692037	0.3606687	0.6747021	0.7579033	0.2106575	0.8844183	0.5309228	0.7948484	1.0000000
650	0.6550309	0.2644199	0.3881650	0.6847012	0.7629091	0.2116225	0.8833175	0.5128429	0.7825596	1.0000000
700	0.6502234	0.2593783	0.4061959	0.6857602	0.7630035	0.2120366	0.8877426	0.4964528	0.7768367	1.0000000
750	0.6487014	0.2558890	0.4153414	0.6859545	0.7622265	0.2114096	0.8946743	0.4849276	0.7743466	1.0000000
800	0.6484209	0.2539202	0.4194492	0.6861158	0.7633877	0.2100215	0.9012375	0.4779457	0.7732982	1.0000000
850	0.6474212	0.2524697	0.4211448	0.6853527	0.7670867	0.2084298	0.9062211	0.4741055	0.7728643	1.0000000
900	0.6449205	0.2505874	0.4214767	0.6832274	0.7723452	0.2070315	0.9095931	0.4721297	0.7726864	1.0000000
950	0.6412435	0.2479113	0.4207575	0.6800777	0.7778313	0.2059728	0.9117648	0.4711611	0.7726138	1.0000000
1000	0.6371769	0.2446297	0.4192087	0.6765877	0.7826250	0.2052368	0.9131640	0.4707031	0.7725843	1.0000000

0	0.6222110	0.2266308	0.4059412	0.6636377	0.7953217	0.2036852	0.9162788	0.4703236	0.7725641	1.0000000
50	0.4798639	0.2383615	0.5812620	0.6532692	0.5663319	0.2036877	0.9165759	0.4703236	0.7725641	1.0000000
100	0.4456706	0.3415144	0.7772810	0.7394087	0.3286521	0.2036539	0.9159507	0.4703236	0.7725641	1.0000000
150	0.4834723	0.5323125	0.8872156	0.8366028	0.2068167	0.2038639	0.9112478	0.4703236	0.7725641	1.0000000
200	0.5110586	0.7100437	0.9391366	0.8891807	0.1547377	0.2046953	0.9048965	0.4703236	0.7725641	1.0000000
250	0.5229324	0.8337590	0.9618695	0.9107650	0.1339958	0.2059777	0.8998107	0.4703236	0.7725641	1.0000000
300	0.5272043	0.9087488	0.9713978	0.9186855	0.1257576	0.2072633	0.8966488	0.4703236	0.7725641	1.0000000
350	0.5286444	0.9508391	0.9752753	0.9214829	0.1222623	0.2082627	0.8949411	0.4703236	0.7725641	1.0000000
400	0.5291297	0.9733578	0.9768192	0.9224766	0.1205981	0.2089207	0.8940931	0.4703236	0.7725641	1.0000000
450	0.5293023	0.9850251	0.9774238	0.9228453	0.1197158	0.2093069	0.8936933	0.4703236	0.7725641	1.0000000
500	0.5293704	0.9909364	0.9776577	0.9229934	0.1192210	0.2095158	0.8935106	0.4703236	0.7725641	1.0000000
550	0.7481462	0.9898588	0.8524478	0.9536198	0.3410134	0.2096274	0.8931170	0.4703236	0.7725641	1.0000000
600	0.8599201	0.9231511	0.7161824	0.9280263	0.5712404	0.2097602	0.8922229	0.4703236	0.7725641	1.0000000
650	0.8125460	0.7625719	0.6316923	0.8438723	0.6889659	0.2098916	0.8933453	0.4703236	0.7725641	1.0000000
700	0.7375432	0.5893159	0.5699061	0.7676627	0.7390073	0.2096748	0.8973857	0.4703236	0.7725641	1.0000000
750	0.6871833	0.4542772	0.5187350	0.7214318	0.7592871	0.2089077	0.9026154	0.4703236	0.7725641	1.0000000
800	0.6608745	0.3644629	0.4792434	0.6978717	0.7687441	0.2077806	0.9072041	0.4703236	0.7725641	1.0000000
850	0.6478644	0.3096095	0.4522259	0.6862409	0.7749042	0.2066328	0.9104543	0.4703236	0.7725641	1.0000000
900	0.6406696	0.2774248	0.4353931	0.6798136	0.7799665	0.2056920	0.9125028	0.4703236	0.7725641	1.0000000
950	0.6358311	0.2586273	0.4253419	0.6755271	0.7842087	0.2050197	0.9137436	0.4703236	0.7725641	1.0000000
1000	0.6321525	0.2473992	0.4192502	0.6723005	0.7875340	0.2045761	0.9145141	0.4703236	0.7725641	1.0000000

0	0.6222110	0.2266308	0.4059412	0.6636377	0.7953217	0.2036852	0.9162788	0.4703236	0.7725641	1.0000000
50	0.4479126	0.1943081	0.5826024	0.6637151	0.7952550	0.2036931	0.9162664	0.4700352	0.7663124	0.9081478
100	0.3191341	0.1477101	0.7798549	0.6637684	0.7952103	0.2036914	0.9166517	0.4626004	0.7260300	0.8097157
150	0.2741043	0.1134076	0.8890347	0.6638013	0.7952310	0.2035564	0.9201300	0.4323085	0.6596023	0.7574056
200	0.2609684	0.0924262	0.9390512	0.6637618	0.7957341	0.2027973	0.9307675	0.3767113	0.5959407	0.7342582
250	0.2571722	0.0806227	0.9599927	0.6633518	0.7979834	0.2008096	0.9479440	0.3114340	0.5498833	0.7248361
300	0.2552550	0.0741086	0.9683016	0.6618598	0.8035212	0.1976705	0.9658388	0.2535425	0.5216556	0.7211747
350	0.2527459	0.0701938	0.9714596	0.6585036	0.8125556	0.1942015	0.9796458	0.2107972	0.5060978	0.7197920
400	0.2490495	0.0673028	0.9725778	0.6531546	0.8234633	0.1912199	0.9884265	0.1828947	0.4981192	0.7192795
450	0.2445662	0.0647249	0.9728871	0.6465826	0.8340183	0.1890686	0.9933970	0.1661861	0.4942313	0.7190919
500	0.2400684	0.0622995	0.9728710	0.6399603	0.8426956	0.1876939	0.9960312	0.1567934	0.4924064	0.7190238
550	0.4031131	0.0884439	0.7904887	0.6342271	0.8490162	0.1868863	0.9973792	0.1521501	0.5022193	0.8108515
600	0.5225892	0.1268560	0.5854126	0.6298118	0.8532199	0.1864389	0.9980233	0.1587363	0.5582213	0.9092748
650	0.5625660	0.1545117	0.4703441	0.6267080	0.8558261	0.1862093	0.9980244	0.1919804	0.6325248	0.9615818
700	0.5729247	0.1708268	0.4163399	0.6246806	0.8573310	0.1861475	0.9966680	0.2504910	0.6921766	0.9847281
750	0.5749354	0.1795256	0.3927859	0.6234518	0.8580268	0.1863345	0.9922446	0.3158917	0.7301746	0.9941498
800	0.5751166	0.1838986	0.3828094	0.6228345	0.8578648	0.1869991	0.9832301	0.3717846	0.7514770	0.9978110
850	0.5753329	0.1861155	0.3786429	0.6228267	0.8564045	0.1883840	0.9704159	0.4120158	0.7625050	0.9991937
900	0.5763117	0.1875210	0.3770390	0.6236368	0.8530366	0.1905037	0.9566360	0.4377988	0.7679137	0.9997062
950	0.5785307	0.1889782	0.3767877	0.6255715	0.8474537	0.1930672	0.9445353	0.4530110	0.7704652	0.9998937
1000	0.5822324	0.1910361	0.3775420	0.6288106	0.8399966	0.1956470	0.9353030	0.4614505	0.7716345	0.9999618

0	0.6222110	0.2266308	0.4059412	0.6636377	0.7953217	0.2036852	0.9162788	0.4703236	0.7725641	1.0000000
50	0.6238601	0.2272948	0.4061057	0.6650915	0.7805153	0.2190671	0.5853814	0.4701495	0.7688300	0.9435887
100	0.6398524	0.2339993	0.4072880	0.6790199	0.6781213	0.3739540	0.2726287	0.4658161	0.7458771	0.8831364
150	0.7279204	0.2902864	0.4162401	0.7548210	0.4023655	0.6586749	0.1194098	0.4488084	0.7095818	0.8510099
200	0.8670631	0.4612900	0.4484915	0.8759234	0.1863784	0.8581603	0.0533936	0.4182391	0.6756382	0.8367939
250	0.9527948	0.6592599	0.4988192	0.9534823	0.0774353	0.9489040	0.0260936	0.3821835	0.6513818	0.8310073
300	0.9858720	0.8055515	0.5447963	0.9850302	0.0307611	0.9830057	0.0150065	0.3494254	0.6366071	0.8287587
350	0.9961359	0.8954641	0.5756806	0.9955089	0.0122898	0.9946192	0.0105609	0.3244301	0.6284904	0.8279095
400	0.9989947	0.9459210	0.5929324	0.9986937	0.0053021	0.9983506	0.0088007	0.3075632	0.6243355	0.8275947
