YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.6655404	0.5600864	0.6865341	0.2000210	0.3066432	0.4773352	0.4448390	0.0748534	0.5365447	0.0248676
0.7162167	0.5737800	0.7177077	0.1738186	0.2813236	0.4897249	0.3585944	0.0756878	0.7437821	0.0129137
0.7960430	0.7142464	0.6802067	0.0464506	0.3672401	0.4612683	0.4446994	0.0990667	0.6706156	0.0105341
0.7188720	0.5923712	0.2981159	0.5074556	0.2782174	0.5459689	0.3938169	0.1601247	0.5210134	0.0956336
0.6683655	0.4790992	0.4503836	0.1517290	0.2035641	0.4436067	0.4364909	0.0550201	0.6048856	0.0340991
0.5816260	0.6264176	0.6209931	0.1922934	0.3555145	0.5377959	0.3576725	0.2561083	0.7999163	0.0136292
0.4016220	0.5417941	0.7023818	0.2763282	0.3260547	0.4550771	0.3466246	0.2422990	0.6141831	0.0108175
0.6050245	0.6580016	0.8062673	0.0384381	0.4490678	0.4814553	0.4710883	0.1085871	0.4128875	0.0094876
0.6755725	0.6910187	0.8367797	0.1109419	0.3825206	0.5246355	0.3972665	0.0919879	0.8311693	0.0084258
0.6897072	0.7910705	0.7498935	0.3400587	0.4036155	0.5450913	0.4585206	0.1038925	0.6985778	0.0413900
