YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0488557	0.4825374	0.6861014	0.8133510	0.7675764	0.7880925	0.0362952	0.6701620	0.6553221	0.9108040
0.1803379	0.2637098	0.6267813	0.7390906	0.8034224	0.6623971	0.0470605	0.8618384	0.7005660	0.6812280
0.1231159	0.3857625	0.3093723	0.7216695	0.6918153	0.6782475	0.0671236	0.7105123	0.7292697	0.7206162
0.0988173	0.5122363	0.7576748	0.4347935	0.6643980	0.7324491	0.0249100	0.7132089	0.7634512	0.8754284
0.0958455	0.5440034	0.6515662	0.6793874	0.3665329	0.6316103	0.0574777	0.7655532	0.7378431	0.6811856
0.1315847	0.4965144	0.7148571	0.6961510	0.8034255	0.2800534	0.0594357	0.6575918	0.6193633	0.7790454
0.1219538	0.5498689	0.7300186	0.7041249	0.6979032	0.7276532	0.0071845	0.6217758	0.7899845	0.7792290
0.0828342	0.4965440	0.7563270	0.7126996	0.6732384	0.7129403	0.1369310	0.3531962	0.7390557	0.6286843
0.0928486	0.4957151	0.7245856	0.9138836	0.6649911	0.6232131	0.0691955	0.6544694	0.3323889	0.6814087
0.1409753	0.6275874	0.6416316	0.8549909	0.6622944	0.6372191	0.0398587	0.7016796	0.7255148	0.3226637
