YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.7453539	0.5124703	0.5786847	0.6319078	0.0003664	0.1861084	0.6732254	0.0039344	0.7290900	0.3382886
0.5838131	0.6862449	0.6580432	0.8265623	0.0036198	0.2118874	0.5084380	0.0003478	0.6696847	0.4182252
0.8297860	0.7226498	0.5870104	0.5892936	0.0001740	0.1833772	0.7025770	0.0353351	0.7411846	0.3420406
0.6563977	0.4060303	0.5491241	0.4453864	0.0001611	0.1967255	0.7945482	0.0777607	0.7651417	0.6296163
0.7000738	0.6423612	0.6122838	0.7241258	0.0013395	0.1101370	0.7226282	0.0709482	0.7596555	0.7371800
0.6777382	0.6214150	0.6595435	0.7118438	0.0037538	0.2266892	0.5498704	0.0568481	0.5798189	0.3671603
0.7318000	0.6893417	0.6253150	0.6383159	0.2102510	0.1845550	0.8119171	0.0763647	0.7123968	0.3995370
0.8562839	0.7890773	0.6394358	0.8354635	0.0343767	0.2304089	0.7173903	0.0559240	0.7440221	0.6039996
0.6362330	0.6648795	0.6015685	0.7743341	0.0003287	0.1266005	0.7656978	0.0439076	0.8231881	0.6120545
0.6340729	0.5875895	0.3924384	0.5161379	0.0219395	0.1466300	0.6368144	0.1137780	0.6674787	0.6642891
