YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.6946017	0.3256441	0.1217032	1.0000000	0.4619937	0.5576592	0.4352027	0.0025968	0.7544667	0.2428465
0.4003763	0.4243401	0.1131076	1.0000000	0.5251860	0.6483423	0.3320155	0.0062616	0.4517774	0.4252142
0.5236679	0.0166386	0.0163011	0.9986328	0.5880678	0.6861773	0.1988321	0.0277032	0.5200436	0.3359121
0.7137473	0.1885810	0.0802176	1.0000000	0.4149846	0.3669829	0.3763615	0.0028797	0.3901130	0.4759641
0.2993910	0.4931725	0.1897097	0.8117161	0.4776100	0.6019012	0.3819067	0.0358840	0.5685686	0.3478301
0.7684202	0.1991788	0.1129773	1.0000000	0.5021205	0.6162012	0.3667276	0.0241827	0.4395256	0.4355691
0.5317354	0.4900845	0.1124027	1.0000000	0.4619937	0.5576592	0.4352027	0.0045220	0.3667815	0.4972428
0.9042946	0.0000181	0.0028955	1.0000000	0.4620387	0.5295348	0.4351016	0.0238285	0.7132611	0.2222889
0.7531362	0.2741278	0.1324089	0.9545432	0.4299322	0.6211049	0.3604093	0.0260449	0.5013111	0.2890379
0.2853142	0.8025252	0.3276707	0.7411699	0.4585912	0.3658163	0.4306193	0.0340288	0.9522407	0.1107087
