YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.7230869	0.9836678	0.9647412	0.0021976	1.0239621	0.0392128	0.0061548	0.9273235	0.9992674	0.0457663
0.6795183	0.9675121	0.9250165	0.0515075	1.0361724	0.0007558	0.0003482	0.9834917	1.1625010	0.0240747
0.7099279	0.8688490	0.9657167	0.0217221	0.9908996	0.0629873	0.0025415	0.9689713	0.9971637	0.0466620
0.8227833	1.0270328	0.7835819	0.8852982	0.8864989	0.0540053	0.0306444	0.8211179	0.3639170	0.6046818
0.6464390	1.0850538	0.5798929	0.9073334	1.0360172	0.0014198	0.0059675	0.8888922	0.6740252	0.3928622
0.7830542	1.0409762	0.9890141	0.0110363	1.0328049	0.0019460	0.0383002	0.9633235	1.0014349	0.0623325
0.6530914	1.0368261	1.0635308	0.0055991	1.0001799	0.0035124	0.0558132	0.9678913	0.7768148	0.0363435
0.7793254	1.0656708	0.8289578	0.0039146	1.0342431	0.0777335	0.0346062	0.9943207	0.7840676	0.0240359
0.7484591	0.9072479	0.6871933	0.9098892	0.8947242	0.0053870	0.0593024	0.8633179	0.5523641	0.5242698
0.9327930	1.0632763	0.8145631	1.0243659	1.1159484	0.0006153	0.0751199	0.9777490	0.8616773	0.3537507
