YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.5991336	1.0139845	0.0710905	0.0632698	1.0382178	1.0046069	0.0657158	0.2658925	0.1451433
0.9974906	0.0000000	1.0801487	0.1552543	0.4653932	0.4220972	1.1072308	0.0594851	0.5566492	0.5293736
0.9646230	0.0124439	0.0000000	0.4754534	0.8080031	0.3313444	1.0010156	0.0644788	0.5027990	0.9659545
0.1257478	0.6990182	1.0314125	0.0025221	0.1045466	0.9145960	0.9543730	0.0334455	0.1978950	0.1609571
0.1354129	0.6588700	1.0655599	0.0505073	0.0000000	0.8646019	0.9921488	0.0459041	0.2168638	0.1526127
0.8200217	0.2952274	0.6449638	0.7184112	1.0098812	0.0000000	0.9865835	0.0385375	0.5478097	0.4718374
0.1281144	0.5951268	0.9892180	0.0434758	0.0439958	1.0200734	0.0000000	0.0207875	0.3064674	0.0250476
0.1646941	0.6383654	1.0319894	0.0341778	0.0876683	0.8746671	0.9441227	0.0000000	0.2885300	0.1531516
0.1132050	0.7383700	1.0161160	0.0814295	0.1158614	0.8767893	1.0085847	0.9624134	0.0000000	0.1239874
0.1351170	0.6779075	1.0386855	0.0524063	0.0612177	1.0127995	0.8450988	0.0357358	0.2855586	0.0000000
