YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.3258254	0.7254712	0.2546030	0.0314781	0.7605696	0.6225862	0.4470409	0.4099928	0.5018288	0.0603400
0.5961373	0.4557840	0.2055341	0.0704987	0.7786399	0.7526929	0.5370778	0.5243265	0.5314719	0.0334769
0.7742932	0.8797116	0.1739626	0.1223035	0.8844342	0.7555756	0.5660947	0.5273288	0.5427635	0.0422125
0.5643504	0.7328195	0.1035525	0.0293931	0.7087967	0.8379420	0.3821808	0.4391729	0.6077357	0.0606491
0.6808915	0.7323183	0.2523121	0.0507321	0.4564390	0.4830658	0.5200741	0.5086431	0.3482124	0.0809212
0.7258505	0.8157071	0.3440505	0.0515957	0.7679302	0.2750096	0.5059263	0.4612480	0.5531924	0.0503237
0.6333161	0.8421256	0.3958759	0.0549791	0.8799007	0.7990162	0.2134334	0.5469766	0.3292047	0.0957287
0.8395111	0.7532519	0.1943207	0.0415321	0.7595003	0.7961193	0.3500863	0.2366933	0.7170337	0.0646317
0.8809629	1.0749109	0.3033020	0.0448763	0.8083727	0.5330064	0.5686987	0.6558853	0.1575797	0.0448731
0.6701205	0.7792006	0.2310264	0.0385318	0.7730350	0.5391440	0.3676904	0.4532380	0.4937186	0.0217616
