YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4900752	0.8308005	0.3649917	0.1405534	0.1329301	0.0915664	0.8702089	0.8692908	0.3940507	1.0000000
0.6597162	0.4148404	0.3638963	0.1400508	0.1326561	0.0914893	0.8709575	0.3474537	0.6337770	1.0000000
0.8916316	0.5666511	0.1818949	0.1400020	0.1326295	0.0914818	0.8710302	0.6378721	0.5047354	1.0000000
0.9021546	0.5807231	0.1877661	0.0585661	0.1162249	0.0850840	0.9636766	0.6592811	0.4958815	1.0000000
0.9187522	0.6066416	0.1990543	0.0629178	0.0584357	0.0853419	0.9592903	0.6959916	0.4805815	1.0000000
0.8688609	0.5410984	0.1719197	0.0526154	0.0335353	0.0423751	0.9694419	0.5947998	0.5222507	1.0000000
0.9897244	0.9585687	0.8052330	0.8700003	0.7390951	0.3534418	0.2952452	0.9058929	0.3677878	1.0000000
0.9801473	0.8308005	0.3649917	0.1405534	0.1329301	0.0915664	0.8702089	0.4346467	0.3940507	1.0000000
0.9801473	0.8308005	0.3649917	0.1405534	0.1329301	0.0915664	0.8702089	0.9964723	0.1970358	1.0000000
0.9803247	0.8332524	0.3696976	0.1436914	0.1352586	0.0925496	0.8577083	0.3156546	0.6516732	0.5000001
