"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.4133336	0.6923205	0.0862951	0.2007979	0.2032837	0.6891264	0.9290433	0.8870029	0.8216744	0.9997426
100	0.4087023	0.6786455	0.0862975	0.2023346	0.2132660	0.8647997	0.9814671	0.8627342	0.7239224	0.9996587
150	0.4163744	0.6711775	0.0863594	0.2191389	0.2586966	0.9343087	0.9910752	0.8352579	0.6129649	0.9996313
200	0.4251742	0.6720469	0.0869644	0.2923741	0.3474252	0.9617596	0.9926981	0.7995197	0.5565876	0.9996224
250	0.4287806	0.6767705	0.0925029	0.4538270	0.4450004	0.9724901	0.9927975	0.7640967	0.5375390	0.9996195
300	0.4273504	0.6797525	0.1391865	0.6367131	0.5177594	0.9765565	0.9926182	0.7377167	0.5318438	0.9996186
350	0.4251824	0.6745103	0.3078498	0.7686417	0.5613530	0.9780019	0.9924342	0.7214943	0.5283054	0.9996183
400	0.4299316	0.6488545	0.5321145	0.8454470	0.5857297	0.9784694	0.9923035	0.7121731	0.5259733	0.9996182
450	0.4530862	0.6039351	0.6989732	0.8864921	0.5982681	0.9786552	0.9922221	0.7070694	0.5312477	0.9996181
500	0.4966112	0.5718175	0.7971616	0.9073605	0.5970424	0.9789139	0.9921786	0.7066178	0.5529549	0.9996181
550	0.5702180	0.5873333	0.8498370	0.9156538	0.5695810	0.4936276	0.6488016	0.7159548	0.6418657	0.9998755
600	0.5846231	0.6361531	0.8763072	0.9093632	0.4713320	0.3361598	0.5906334	0.7512034	0.8081439	0.9999594
650	0.5556895	0.6593704	0.8857585	0.8643849	0.3396225	0.3044838	0.5932533	0.8013391	0.8917612	0.9999868
700	0.5265251	0.6442247	0.8730262	0.7359007	0.2488525	0.3058626	0.6087483	0.8406740	0.9106352	0.9999957
750	0.5237967	0.6175273	0.8001580	0.5361654	0.2019879	0.3098811	0.6223795	0.8636161	0.9069799	0.9999986
800	0.5398419	0.6173681	0.5961394	0.3596354	0.1815166	0.3194517	0.6309061	0.8741679	0.9042690	0.9999995
850	0.5437847	0.6580918	0.3475858	0.2499037	0.1732335	0.3359943	0.6351599	0.8774812	0.9072076	0.9999999
900	0.5145703	0.7100712	0.1980934	0.1920890	0.1694926	0.3444735	0.6368116	0.8781168	0.9068632	1.0000000
950	0.4672311	0.7320111	0.1310700	0.1636825	0.1683987	0.3283100	0.6373700	0.8790069	0.8943525	1.0000000
1000	0.4329417	0.7191770	0.1034837	0.1507917	0.1710258	0.2913118	0.6378636	0.8818628	0.8691792	1.0000000

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.4435410	0.6984988	0.0862965	0.2024836	0.2192264	0.2395417	0.8148981	0.8582162	0.6851128	1.0000000
100	0.4436086	0.6984358	0.0863852	0.2279256	0.2728417	0.2239117	0.8424571	0.8361469	0.6482440	1.0000000
150	0.4436822	0.6984389	0.0872999	0.3090776	0.3303118	0.2101996	0.8453180	0.8291433	0.6396034	1.0000000
200	0.4437236	0.6983830	0.0937265	0.4316170	0.3701358	0.2024849	0.8451736	0.8308028	0.6377306	1.0000000
250	0.4438363	0.6977266	0.1270509	0.5469442	0.3921971	0.2000140	0.8453665	0.8349315	0.6374056	1.0000000
300	0.4446119	0.6942525	0.2212952	0.6293585	0.4029232	0.2005078	0.8458513	0.8380578	0.6374972	1.0000000
350	0.4482238	0.6826752	0.3610763	0.6798950	0.4075867	0.2023592	0.8462603	0.8391488	0.6382994	1.0000000
400	0.4592735	0.6600541	0.4925289	0.7079986	0.4087360	0.2059615	0.8464099	0.8378621	0.6415688	1.0000000
450	0.4810305	0.6357422	0.5880872	0.7217532	0.4061906	0.2138513	0.8461908	0.8330208	0.6503568	1.0000000
500	0.5081991	0.6247883	0.6478722	0.7250711	0.3978862	0.2280878	0.8454147	0.8230153	0.6657293	1.0000000
550	0.5280220	0.6308336	0.6796718	0.7146185	0.3539471	0.2531531	0.6640800	0.8552352	0.8366915	1.0000000
600	0.5325021	0.6427154	0.6833253	0.6557862	0.2774361	0.2876292	0.6364316	0.8682413	0.8866857	1.0000000
650	0.5259191	0.6498270	0.6305032	0.5291223	0.2229427	0.3129194	0.6346682	0.8743441	0.9005891	1.0000000
700	0.5169040	0.6560502	0.4850015	0.3850022	0.1934518	0.3233877	0.6359817	0.8774286	0.9011368	1.0000000
750	0.5061642	0.6735229	0.3048112	0.2761773	0.1798548	0.3229227	0.6370451	0.8790108	0.8968899	1.0000000
800	0.4875137	0.6987027	0.1847954	0.2110486	0.1748997	0.3145808	0.6376784	0.8801312	0.8900273	1.0000000
850	0.4625167	0.7129448	0.1269108	0.1770635	0.1746413	0.2977183	0.6381624	0.8819013	0.8786110	1.0000000
900	0.4426281	0.7101058	0.1021737	0.1617434	0.1776762	0.2745504	0.6388629	0.8854013	0.8622401	1.0000000
950	0.4354739	0.7001932	0.0920364	0.1575757	0.1835308	0.2529605	0.6401059	0.8910437	0.8459230	1.0000000
1000	0.4385422	0.6936744	0.0879560	0.1608190	0.1909300	0.2403789	0.6419482	0.8975906	0.8362616	1.0000000

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.5046986	0.4505924	0.0887102	0.4264264	0.2029696	0.6648104	0.6452294	0.8866994	0.8340251	1.0000000
100	0.6570050	0.4401469	0.1140167	0.5096437	0.2054724	0.8347250	0.6397803	0.8643183	0.8068974	1.0000000
150	0.7380404	0.5178494	0.1784134	0.5423227	0.2157813	0.9088109	0.6332246	0.8494809	0.7705312	1.0000000
200	0.7247037	0.5663950	0.2550736	0.5613166	0.2342824	0.9419751	0.6277687	0.8372355	0.7436979	1.0000000
250	0.6792323	0.5747981	0.3217105	0.5817869	0.2560988	0.9548044	0.6231617	0.8264952	0.7249726	1.0000000
300	0.6496569	0.5600687	0.3790023	0.6079070	0.2771855	0.9576655	0.6191543	0.8174134	0.7104380	1.0000000
350	0.6476447	0.5389481	0.4348491	0.6380749	0.2958975	0.9568586	0.6157160	0.8099162	0.7002271	1.0000000
400	0.6638032	0.5238669	0.4932162	0.6687460	0.3109595	0.9558443	0.6128460	0.8040795	0.6962924	1.0000000
450	0.6836143	0.5171551	0.5522015	0.6962428	0.3207105	0.9557967	0.6106137	0.8002818	0.6977381	1.0000000
500	0.6985425	0.5142574	0.6067207	0.7175061	0.3247370	0.9565567	0.6091391	0.7985938	0.7012850	1.0000000
550	0.6438942	0.7521516	0.6226325	0.5978069	0.3229506	0.6589210	0.6084457	0.7991429	0.7311776	1.0000000
600	0.5042692	0.7799029	0.5614615	0.5508196	0.3021102	0.5007768	0.6090159	0.8072604	0.8034910	1.0000000
650	0.4242930	0.7006804	0.4721037	0.5019653	0.2634421	0.3646858	0.6124117	0.8250982	0.8419260	1.0000000
700	0.4350896	0.6242171	0.3731931	0.4266118	0.2319305	0.2687124	0.6187499	0.8478048	0.8351998	1.0000000
750	0.4891125	0.6232637	0.2699266	0.3463912	0.2164746	0.2368345	0.6266316	0.8701463	0.8397870	1.0000000
800	0.5145821	0.6763142	0.1864099	0.2851876	0.2070208	0.2580604	0.6338515	0.8831228	0.8661789	1.0000000
850	0.4900670	0.7236937	0.1352411	0.2433775	0.1963303	0.2874450	0.6381623	0.8860715	0.8834153	1.0000000
900	0.4488861	0.7310921	0.1087279	0.2128203	0.1873479	0.2881630	0.6397689	0.8869053	0.8772380	1.0000000
950	0.4255504	0.7111846	0.0960235	0.1906157	0.1845594	0.2645090	0.6405450	0.8902850	0.8544100	1.0000000
1000	0.4267976	0.6919125	0.0901554	0.1779903	0.1889350	0.2405532	0.6418351	0.8967246	0.8332123	1.0000000

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.4443318	0.6869149	0.5066601	0.2007768	0.2028479	0.2457412	0.6461553	0.9037376	0.8383804	1.0000000
100	0.4577355	0.6394912	0.6705794	0.2007107	0.2028177	0.2472876	0.6461401	0.9034010	0.8400234	1.0000000
150	0.4972671	0.5978889	0.7344984	0.2005366	0.2019119	0.2590411	0.6458993	0.9005912	0.8513579	1.0000000
200	0.5433753	0.5999959	0.7594217	0.1991049	0.1977204	0.2899154	0.6447830	0.8932497	0.8758001	1.0000000
250	0.5617296	0.6321490	0.7691322	0.1938156	0.1892390	0.3305989	0.6424876	0.8846068	0.9001761	1.0000000
300	0.5471758	0.6548564	0.7728946	0.1832917	0.1794326	0.3577877	0.6399388	0.8792984	0.9115877	1.0000000
350	0.5249439	0.6505691	0.7743221	0.1698844	0.1721068	0.3599396	0.6382098	0.8774785	0.9093956	1.0000000
400	0.5180102	0.6310983	0.7748375	0.1576608	0.1688704	0.3467457	0.6374469	0.8773071	0.9015619	1.0000000
450	0.5283575	0.6186030	0.7750080	0.1492861	0.1688430	0.3360369	0.6372516	0.8774822	0.8975431	1.0000000
500	0.5416574	0.6226307	0.7750567	0.1450648	0.1697196	0.3371042	0.6372355	0.8774010	0.9003616	1.0000000
550	0.5432716	0.6510754	0.3541723	0.1435547	0.1696984	0.3455309	0.6371905	0.8770783	0.9053625	1.0000000
600	0.5185873	0.7042784	0.1900346	0.1428881	0.1687737	0.3486945	0.6371084	0.8770008	0.9059416	1.0000000
650	0.4723477	0.7328454	0.1260222	0.1421082	0.1684201	0.3321585	0.6371345	0.8778914	0.8954608	1.0000000
700	0.4347513	0.7231596	0.1010559	0.1417351	0.1708412	0.2955253	0.6375108	0.8807586	0.8718276	1.0000000
750	0.4236041	0.7003331	0.0913187	0.1435474	0.1777682	0.2569837	0.6385967	0.8869768	0.8444248	1.0000000
800	0.4327173	0.6871587	0.0875294	0.1497870	0.1883464	0.2342224	0.6407100	0.8959555	0.8285963	1.0000000
850	0.4457988	0.6877882	0.0860807	0.1614567	0.1983276	0.2312470	0.6434547	0.9035066	0.8287667	1.0000000
900	0.4516545	0.6955884	0.0855843	0.1762043	0.2036299	0.2399088	0.6456845	0.9062865	0.8365120	1.0000000
950	0.4493078	0.7020218	0.0855147	0.1890033	0.2041345	0.2485625	0.6466241	0.9052496	0.8423587	1.0000000
1000	0.4440531	0.7031230	0.0856515	0.1963391	0.2025903	0.2510172	0.6465152	0.9034300	0.8429192	1.0000000

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.4690200	0.5906397	0.0862565	0.1795044	0.1183307	0.2475636	0.6461462	0.9033535	0.8410865	0.6880150
100	0.5327543	0.5844947	0.0859131	0.1340543	0.0857060	0.2693076	0.6457718	0.8986321	0.8629992	0.5862940
150	0.5677406	0.6252974	0.0854515	0.1039925	0.0701562	0.3160629	0.6440426	0.8889098	0.8960387	0.5531284
200	0.5547177	0.6611007	0.0851568	0.0893397	0.0600244	0.3557481	0.6412538	0.8813616	0.9156768	0.5423150
250	0.5233179	0.6665084	0.0850131	0.0827909	0.0534136	0.3641217	0.6389874	0.8785365	0.9168191	0.5387893
300	0.5050918	0.6494749	0.0849492	0.0799408	0.0501782	0.3476562	0.6379073	0.8783602	0.9075156	0.5376398
350	0.5085432	0.6316976	0.0849217	0.0787210	0.0495730	0.3280488	0.6376739	0.8790599	0.8991530	0.5372650
400	0.5226735	0.6273864	0.0849100	0.0782176	0.0501912	0.3206544	0.6378062	0.8797030	0.8984542	0.5371428
450	0.5323065	0.6347091	0.0849051	0.0780270	0.0506553	0.3259458	0.6379683	0.8798040	0.9033059	0.5371029
500	0.5315609	0.6433398	0.0849029	0.0779614	0.0504437	0.3346516	0.6380027	0.8795322	0.9077698	0.5370899
550	0.4986958	0.7538260	0.0849021	0.0788159	0.1233370	0.3364031	0.6379468	0.8794485	0.9066632	0.8490706
600	0.4359823	0.7558105	0.0849021	0.0855447	0.1512795	0.3119696	0.6380135	0.8809738	0.8880488	0.9507903
650	0.4053965	0.7157461	0.0849043	0.0999588	0.1664580	0.2654883	0.6386950	0.8863252	0.8508702	0.9839554
700	0.4142752	0.6843768	0.0849125	0.1184544	0.1819079	0.2284359	0.6406417	0.8966610	0.8195617	0.9947688
750	0.4387956	0.6773400	0.0849358	0.1403127	0.1978959	0.2184210	0.6438539	0.9073492	0.8142961	0.9982944
800	0.4553718	0.6877731	0.0849977	0.1652197	0.2078469	0.2307702	0.6468816	0.9116086	0.8276582	0.9994439
850	0.4561869	0.7012734	0.0851473	0.1876178	0.2090637	0.2480486	0.6481430	0.9089223	0.8415733	0.9998187
900	0.4477581	0.7069060	0.0854287	0.2007789	0.2054513	0.2560398	0.6476011	0.9043219	0.8464904	0.9999409
950	0.4402083	0.7040908	0.0857853	0.2040348	0.2019758	0.2533253	0.6464489	0.9017795	0.8433563	0.9999807
1000	0.4384360	0.6986838	0.0860715	0.2020409	0.2009310	0.2467048	0.6457215	0.9018730	0.8379862	0.9999937

0	0.4435678	0.6986230	0.0862934	0.2008597	0.2028635	0.2458652	0.6461687	0.9037337	0.8384816	1.0000000
50	0.4435411	0.6984938	0.0871825	0.3204896	0.1995478	0.2028155	0.6049707	0.5572765	0.8748220	1.0000000
100	0.4436214	0.6983288	0.0927901	0.3614123	0.1913505	0.1266954	0.5041769	0.4233944	0.8840669	1.0000000
150	0.4438058	0.6979100	0.1034447	0.3705360	0.1843553	0.0815658	0.4243650	0.3779823	0.8866175	1.0000000
200	0.4442205	0.6971334	0.1136580	0.3682478	0.1800613	0.0604567	0.3841704	0.3647036	0.8873874	1.0000000
