YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.2297540	0.5241439	0.2194116	0.3953732	0.3024284	0.2804042	0.2127685	0.0005429	0.0359654	0.7686213
0.2168471	0.3771999	0.2250246	0.4357159	0.3962567	0.0440694	0.2809372	0.0027847	0.0714720	0.8455985
0.3730182	0.8151855	0.0033951	0.0755629	0.4710846	0.2100568	0.0066505	0.1242495	0.0995951	0.8179001
0.2210168	0.5534156	0.1048834	0.3169935	0.5792020	0.1131164	0.2714841	0.0038218	0.0505258	0.6807700
0.3925454	0.2880843	0.3388209	0.1604566	0.3367907	0.2567599	0.1438324	0.0768628	0.0474004	0.7550039
0.2907225	0.6522149	0.0494527	0.2483408	0.2481806	0.5250745	0.1958366	0.2640149	0.3580743	0.2443156
0.1854965	0.5376672	0.1591494	0.2780653	0.3347082	0.2526213	0.3880101	0.0280161	0.0813832	0.7611957
0.2621160	0.5920058	0.0539645	0.2194882	0.2387733	0.6206819	0.0246535	0.3810411	0.0484331	0.6503875
0.1742933	0.5832969	0.0608020	0.3950259	0.6956446	0.0576591	0.4346433	0.0012604	0.0398506	0.6927376
0.3693202	0.4064033	0.0805974	0.2645831	0.6693088	0.0418171	0.1162222	0.0385308	0.1204568	0.4796390
