YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3716749	0.4686377	1.0112557	0.4771702	0.1334824	0.3859509	0.7616780	0.9892191	0.0116885	0.1053810
0.8337566	0.1855615	0.9578066	0.5127891	0.2156294	0.3952964	0.6164379	1.0407210	0.0119612	0.0846775
0.4570383	0.6628911	0.5324196	0.4081621	0.0568134	0.2932251	0.9050542	0.9566348	0.0188816	0.1025869
0.6894355	0.4108010	1.0078171	0.3931549	0.0369221	0.4005121	0.8331814	0.9600897	0.0159505	0.0984450
0.7482415	0.3789703	1.0307723	0.5602758	0.0827054	0.2837780	0.8786772	1.0492012	0.0112920	0.0550494
0.6601328	0.4374687	1.0731758	0.6568782	0.1149323	0.1192844	0.9034426	1.0828124	0.0106316	0.0886573
0.6809101	0.4083408	1.0230917	0.4904533	0.1976348	0.8066274	0.3921245	0.9709735	0.0101608	0.1350038
0.7661063	0.3616012	1.0336459	0.5739488	0.1642500	0.3622085	0.7244500	0.4925728	0.0440916	0.0749171
0.7824467	0.3880830	1.1602545	0.6180087	0.2145605	0.3662911	0.8159658	0.9239158	0.0109815	0.0777069
0.6687552	0.3884034	1.0357851	0.5644564	0.1387564	0.3038847	0.8857237	1.1018629	0.0272699	0.0346184
