YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.6231865	0.8750399	0.0000000	0.0000000	0.0623538	0.6069924	0.3913000	0.2733089	0.0390897	0.0315021
0.1486511	0.3739360	0.0000000	0.7855583	0.0437108	0.5163474	0.4804891	0.2071588	0.0111128	0.0000000
0.1270930	0.3626990	0.0378324	0.6270831	0.0000000	0.5665923	0.4484307	0.1161554	0.0083386	0.0000000
0.0960803	0.4065940	0.0273443	0.6480864	0.0024743	0.0000000	0.0000000	0.0598823	0.0234149	0.0253858
