YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000000	0.3622910	0.4729417	0.4337897	0.6256139	0.2498759	0.0801756	0.1322722	0.7196516	0.7608051
0.4486750	0.0000000	0.5502048	0.3657171	0.6716633	0.2151205	0.0354868	0.0843753	0.8607398	0.6422175
0.9388344	0.0635028	0.0000000	0.1744600	0.3352832	0.0158637	0.0450544	0.0767723	0.6207117	0.7252094
0.5923535	0.5454406	0.7448778	0.0000000	0.6785484	0.3085636	0.0339978	0.0873575	0.7398468	0.6454424
0.7909039	0.4134480	0.7383277	0.0047949	0.0000000	0.2964718	0.0355334	0.1632873	0.7843488	0.8394996
0.6795977	0.3752878	0.8156243	0.0188926	0.0517472	0.0000000	0.0738918	0.0800578	0.7235648	0.0004141
0.5846186	0.4188855	0.4672333	0.5375920	0.6437332	0.2453252	0.0000000	0.0751013	0.7404913	0.6498986
0.3855630	0.3850277	0.5954597	0.4994232	0.5886011	0.2195339	0.0226669	0.0000000	0.6331144	0.7172364
0.3970276	0.3077400	0.4259388	0.6314363	0.6610285	0.5219770	0.4586241	0.7306561	0.0000000	0.7246870
0.6586144	0.4509739	0.6037071	0.4286799	0.6278560	0.2574169	0.0306351	0.0736594	0.7198033	0.0000000
