YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1824913	0.5525722	0.9583659	0.8885414	0.8700739	0.5381753	1.0339580	0.5724315	0.4888502	0.7129454
0.2275286	0.3131835	0.9119193	0.8280220	0.8815065	0.5156767	1.0164300	0.7488191	0.4539419	0.7219281
0.4456295	0.6983249	0.4245129	0.7180384	0.8472622	0.6299315	0.9565403	0.7879554	0.5525289	0.6748698
0.4519667	0.5573237	0.7438150	0.3023302	0.6946544	0.8628555	0.8407520	0.5974032	0.4907096	0.7806247
0.4342729	0.6303482	0.9334456	0.7711719	0.3727181	0.5527846	0.8648437	0.6889616	0.5374773	0.6665735
0.4548100	0.5086662	0.8196570	1.0358817	1.0075179	0.2965250	1.0131791	0.6139529	0.4642066	0.7746594
0.3926733	0.6294935	0.5514475	0.6929992	0.9066099	0.6793660	0.4895088	0.7079458	0.4721508	0.6496885
0.4758830	0.5411534	0.7941039	0.8159073	0.8540524	0.5379071	0.9099562	0.2274240	0.4819064	0.9113951
0.2559568	0.3865093	0.8382248	0.7649537	0.9463533	0.5633791	0.7666801	0.1632324	0.3107564	1.0054327
0.3509849	0.3371670	0.7401810	0.8947373	0.9213920	0.5605579	0.6639960	0.1549449	0.2559604	0.5552388
