"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0847572	0.0699172	0.3275043	0.2430566	0.5502769	0.6428540	0.6156002	1.0000000	0.3191442	0.9978680
50	0.0848799	0.0713140	0.3083779	0.1425600	0.5468262	0.6428540	0.6156002	1.0000000	0.3201044	0.9976278
100	0.0849205	0.0699409	0.3517949	0.0553181	0.5446900	0.6428540	0.6156002	1.0000000	0.3199787	0.9974448
150	0.0851134	0.0914718	0.4619052	0.0189149	0.5403770	0.6428540	0.6156002	1.0000000	0.3193924	0.9971764
200	0.0890540	0.1662728	0.5604665	0.0064031	0.4954443	0.6428540	0.6156002	1.0000000	0.3170934	0.9946112
250	0.1214228	0.2787486	0.6222833	0.0025697	0.3874929	0.6428540	0.6156002	1.0000000	0.3057170	0.9899209
300	0.2310416	0.3872322	0.6555200	0.0016781	0.2818115	0.6428540	0.6156002	1.0000000	0.2812680	0.9873952
350	0.3958655	0.4685906	0.6720891	0.0017745	0.2151092	0.6428540	0.6156002	1.0000000	0.2535131	0.9879283
400	0.5408395	0.5211031	0.6800125	0.0021219	0.1804075	0.6428540	0.6156002	1.0000000	0.2326963	0.9900445
450	0.6359243	0.5519042	0.6837024	0.0024326	0.1638386	0.6428540	0.6156002	1.0000000	0.2209568	0.9922537
500	0.6897835	0.5688320	0.6853863	0.0026373	0.1562022	0.6428540	0.6156002	1.0000000	0.2157762	0.9938934
550	0.7189549	0.5841868	0.7038279	0.3080524	0.1527002	0.6428540	0.6156002	1.0000000	0.2141950	0.9949010
600	0.7378241	0.5733461	0.5352551	0.5768966	0.1509805	0.6428540	0.6156002	1.0000000	0.2145920	0.9954334
650	0.7042817	0.4477680	0.3510570	0.6910781	0.1512775	0.6428540	0.6156002	1.0000000	0.2123487	0.9956780
700	0.5260978	0.2745205	0.2297421	0.7284171	0.1592018	0.6428540	0.6156002	1.0000000	0.2024507	0.9959075
750	0.2874273	0.1466919	0.1625557	0.7220933	0.1975975	0.6428540	0.6156002	1.0000000	0.1909267	0.9963725
800	0.1510710	0.0756421	0.1294504	0.6536411	0.3020634	0.6428540	0.6156002	1.0000000	0.1866423	0.9972413
850	0.1022416	0.0414180	0.1184763	0.5205032	0.4323675	0.6428540	0.6156002	1.0000000	0.1980286	0.9983684
900	0.0883395	0.0262920	0.1272884	0.3895981	0.5238112	0.6428540	0.6156002	1.0000000	0.2265975	0.9991902
950	0.0848185	0.0202460	0.1573409	0.3026329	0.5714745	0.6428540	0.6156002	1.0000000	0.2619185	0.9996335
1000	0.0839818	0.0190300	0.2045044	0.2557106	0.5929349	0.6428540	0.6156002	1.0000000	0.2931164	0.9998413

0	0.0847572	0.0699172	0.3275043	0.2430566	0.5502769	0.6428540	0.6156002	1.0000000	0.3191442	0.9978680
50	0.1456995	0.2421481	0.3440869	0.1590700	0.5045201	0.6428540	0.6156002	1.0000000	0.3199870	0.9700928
100	0.2964594	0.4438189	0.4351680	0.0921140	0.3563121	0.6428540	0.6156002	1.0000000	0.3124179	0.9350394
150	0.5344744	0.5813763	0.5758728	0.0805278	0.2450257	0.6428540	0.6156002	1.0000000	0.2942108	0.9150682
200	0.7180714	0.6866724	0.6787969	0.0962045	0.1883988	0.6428540	0.6156002	1.0000000	0.2799075	0.9069349
250	0.8246293	0.7657503	0.7124667	0.1158452	0.1629572	0.6428540	0.6156002	1.0000000	0.2769229	0.9045416
300	0.8798687	0.8130182	0.6966945	0.1300831	0.1520078	0.6428540	0.6156002	1.0000000	0.2824241	0.9039336
350	0.9059749	0.8313933	0.6621977	0.1383309	0.1473747	0.6428540	0.6156002	1.0000000	0.2906139	0.9033992
400	0.9163076	0.8298612	0.6286260	0.1425570	0.1454631	0.6428540	0.6156002	1.0000000	0.2974123	0.9025558
450	0.9181977	0.8182304	0.6032870	0.1445574	0.1447402	0.6428540	0.6156002	1.0000000	0.3012424	0.9015858
500	0.9157853	0.8039886	0.5865985	0.1454394	0.1445445	0.6428540	0.6156002	1.0000000	0.3022210	0.9007729
550	0.8969381	0.6820614	0.5336036	0.4011229	0.1447510	0.6428540	0.6156002	1.0000000	0.2988457	0.9257192
600	0.8192414	0.4973117	0.3895406	0.6230030	0.1465133	0.6428540	0.6156002	1.0000000	0.2806749	0.9551737
650	0.6165735	0.3086984	0.2621246	0.7119558	0.1537476	0.6428540	0.6156002	1.0000000	0.2497946	0.9735537
700	0.3431593	0.1682107	0.1820997	0.7271222	0.1838344	0.6428540	0.6156002	1.0000000	0.2201176	0.9842997
750	0.1731767	0.0871296	0.1392991	0.6762485	0.2746710	0.6428540	0.6156002	1.0000000	0.2021261	0.9909060
800	0.1089281	0.0469120	0.1216095	0.5519763	0.4064504	0.6428540	0.6156002	1.0000000	0.2027465	0.9952684
850	0.0900919	0.0287233	0.1247363	0.4146727	0.5082380	0.6428540	0.6156002	1.0000000	0.2242523	0.9977967
900	0.0852435	0.0211781	0.1496230	0.3175247	0.5639297	0.6428540	0.6156002	1.0000000	0.2569534	0.9990425
950	0.0840804	0.0190219	0.1936401	0.2632833	0.5896598	0.6428540	0.6156002	1.0000000	0.2883911	0.9995999
1000	0.0838136	0.0211555	0.2457783	0.2366808	0.6004061	0.6428540	0.6156002	1.0000000	0.3123021	0.9998344

0	0.0847572	0.0699172	0.3275043	0.2430566	0.5502769	0.6428540	0.6156002	1.0000000	0.3191442	0.9978680
50	0.0862288	0.1397487	0.3314736	0.2435428	0.5260842	0.6931843	0.6401415	1.0000000	0.3221728	0.8718065
100	0.1033338	0.2194385	0.3319956	0.2600484	0.4175894	0.7530382	0.6666045	1.0000000	0.3320988	0.7246160
150	0.1460420	0.2646421	0.3184194	0.3208088	0.2999758	0.7929693	0.6806800	1.0000000	0.3408353	0.6385454
200	0.1920202	0.2819936	0.2809705	0.4260080	0.2229214	0.8157592	0.6868726	1.0000000	0.3441265	0.5966281
250	0.2191484	0.2816855	0.2300956	0.5411575	0.1822396	0.8275349	0.6893623	1.0000000	0.3446351	0.5778986
300	0.2246319	0.2740235	0.1831473	0.6324440	0.1640856	0.8331849	0.6903118	1.0000000	0.3445221	0.5699834
350	0.2178241	0.2662130	0.1483819	0.6892209	0.1579578	0.8357444	0.6906615	1.0000000	0.3444562	0.5667821
400	0.2082662	0.2607969	0.1258267	0.7176073	0.1573275	0.8368522	0.6907872	1.0000000	0.3445430	0.5655340
450	0.2005999	0.2576643	0.1124492	0.7282981	0.1585813	0.8373145	0.6908316	1.0000000	0.3447589	0.5650567
500	0.1956903	0.2560266	0.1050784	0.7301508	0.1600514	0.8375016	0.6908470	1.0000000	0.3450467	0.5648665
550	0.1790933	0.1840315	0.1013109	0.7279011	0.1674012	0.8008179	0.6663110	1.0000000	0.3413177	0.6876808
600	0.1317776	0.1015264	0.0997062	0.7049345	0.2221779	0.7497144	0.6398498	1.0000000	0.3177592	0.8308515
650	0.1001946	0.0542037	0.1007408	0.6163952	0.3369641	0.7069892	0.6257749	1.0000000	0.2860701	0.9184966
700	0.0883563	0.0317356	0.1082245	0.4819229	0.4499473	0.6774836	0.6195824	1.0000000	0.2692306	0.9638915
750	0.0849046	0.0220918	0.1283156	0.3667968	0.5247880	0.6600038	0.6170928	1.0000000	0.2732189	0.9848466
800	0.0840141	0.0185816	0.1646909	0.2938729	0.5664315	0.6507892	0.6161434	1.0000000	0.2891241	0.9938574
850	0.0837991	0.0187595	0.2129773	0.2541638	0.5878314	0.6463357	0.6157937	1.0000000	0.3070928	0.9975661
900	0.0837518	0.0230394	0.2626539	0.2341316	0.5980945	0.6443190	0.6156680	1.0000000	0.3220017	0.9990471
950	0.0837559	0.0328310	0.3046979	0.2245177	0.6017533	0.6434501	0.6156236	1.0000000	0.3325254	0.9996134
1000	0.0838235	0.0479697	0.3354599	0.2204492	0.5993145	0.6430900	0.6156082	1.0000000	0.3389797	0.9997461

0	0.0847572	0.0699172	0.3275043	0.2430566	0.5502769	0.6428540	0.6156002	1.0000000	0.3191442	0.9978680
50	0.5069349	0.0730158	0.3314907	0.2429402	0.5457970	0.6547641	0.6126600	0.9216356	0.3200904	0.9976178
100	0.7860167	0.0759842	0.3336413	0.2447227	0.5364550	0.6610361	0.5949762	0.8365607	0.3195615	0.9972528
150	0.8719420	0.0781913	0.3333601	0.2485066	0.5277673	0.6466974	0.5677582	0.7909652	0.3173732	0.9968558
200	0.8939100	0.0790886	0.3305243	0.2524498	0.5269049	0.6146028	0.5429838	0.7707520	0.3144624	0.9965343
250	0.8990872	0.0784393	0.3264086	0.2535827	0.5370280	0.5763958	0.5257911	0.7625638	0.3127308	0.9963721
300	0.9002491	0.0766708	0.3235689	0.2500248	0.5563803	0.5426625	0.5156720	0.7594178	0.3139357	0.9963815
350	0.9004934	0.0748983	0.3246033	0.2421948	0.5799651	0.5180611	0.5103361	0.7582504	0.3187564	0.9964928
400	0.9005371	0.0745325	0.3308913	0.2322393	0.6020004	0.5023716	0.5077337	0.7578277	0.3265409	0.9965768
450	0.9005470	0.0768057	0.3420303	0.2226585	0.6177077	0.4933074	0.5065362	0.7576775	0.3356726	0.9964670
500	0.9005673	0.0824140	0.3560355	0.2153740	0.6238749	0.4884517	0.5060093	0.7576249	0.3441964	0.9959539
550	0.4791305	0.0912266	0.3700205	0.2115424	0.6202152	0.4671694	0.5096543	0.8359711	0.3503521	0.9947876
600	0.2011737	0.1020738	0.3810685	0.2112343	0.6104165	0.4568203	0.5305959	0.9210396	0.3532450	0.9927993
650	0.1167452	0.1128739	0.3872349	0.2142589	0.5889552	0.4777704	0.5594476	0.9666330	0.3527073	0.9901673
700	0.0966073	0.1212640	0.3873327	0.2221473	0.5530697	0.5187663	0.5833574	0.9868455	0.3478057	0.9875337
750	0.0931548	0.1250913	0.3798330	0.2366140	0.5106785	0.5611400	0.5988251	0.9950335	0.3376283	0.9857437
800	0.0928995	0.1225907	0.3636931	0.2568381	0.4742537	0.5942033	0.6074776	0.9981794	0.3231203	0.9854037
850	0.0921702	0.1131637	0.3404685	0.2783024	0.4537420	0.6160431	0.6118754	0.9993468	0.3073021	0.9865981
900	0.0903599	0.0984383	0.3147816	0.2940969	0.4537739	0.6289504	0.6139632	0.9997694	0.2939521	0.9889401
950	0.0881263	0.0819294	0.2924737	0.2985663	0.4725589	0.6359901	0.6149050	0.9999197	0.2861638	0.9918078
1000	0.0862684	0.0672247	0.2783091	0.2910766	0.5020268	0.6396008	0.6153131	0.9999723	0.2853762	0.9945367

0	0.0847572	0.0699172	0.3275043	0.2430566	0.5502769	0.6428540	0.6156002	1.0000000	0.3191442	0.9978680
50	0.3672421	0.0730158	0.3314846	0.2431480	0.5393423	0.7526598	0.6024213	0.6785937	0.3199917	0.9976179
100	0.5540106	0.0759636	0.3331242	0.2490968	0.5002494	0.8516577	0.5093193	0.3296652	0.3173365	0.9972600
150	0.6115584	0.0777975	0.3289489	0.2662038	0.4571370	0.8759566	0.3468080	0.1426583	0.3080681	0.9969298
200	0.6262917	0.0768107	0.3155667	0.2899644	0.4313362	0.8574185	0.1968906	0.0597552	0.2942241	0.9968367
250	0.6297205	0.0716344	0.2952256	0.3100217	0.4256330	0.8373565	0.1003478	0.0261720	0.2809307	0.9971174
300	0.6303790	0.0631064	0.2744175	0.3194964	0.4337858	0.8268768	0.0499363	0.0132687	0.2719740	0.9977087
350	0.6303894	0.0537846	0.2588030	0.3183145	0.4484354	0.8225819	0.0267466	0.0084806	0.2684470	0.9983959
400	0.6302893	0.0459630	0.2508231	0.3104918	0.4636509	0.8210011	0.0168978	0.0067472	0.2694825	0.9989820
450	0.6302082	0.0407051	0.2500743	0.3005652	0.4759269	0.8204508	0.0129280	0.0061311	0.2733206	0.9993891
500	0.6301620	0.0380807	0.2545101	0.2916105	0.4842419	0.8202652	0.0113837	0.0059152	0.2781722	0.9996341
550	0.3474407	0.0376714	0.2615999	0.2842131	0.5084358	0.5167937	0.0250408	0.3272467	0.2830124	0.9997644
600	0.1605497	0.0389051	0.2705202	0.2651776	0.6296598	0.2288288	0.1406668	0.6761495	0.2938296	0.9998207
650	0.1030332	0.0417144	0.2889172	0.2239285	0.7851146	0.1025006	0.3113128	0.8631477	0.3242595	0.9998164
700	0.0883784	0.0484978	0.3292038	0.1821186	0.8838088	0.1154108	0.4478170	0.9460478	0.3701516	0.9996989
750	0.0850922	0.0662662	0.3911819	0.1547753	0.9116569	0.2416274	0.5315895	0.9796301	0.4143543	0.9990804
