YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.3958680	1.0000000	0.0769733	0.8770126	0.3345094	0.8216982	0.5251454	0.9310275	0.7550326	1.0000000
0.3627685	0.5000000	0.1437807	0.8738391	0.3268650	0.8526162	0.5232541	0.9273806	0.7416680	1.0000000
0.7917360	1.0000000	0.0376110	0.6240696	0.6150882	0.2907352	0.6445919	0.9671620	0.9714591	1.0000000
0.7917360	1.0000000	0.0717327	0.3117704	0.6152836	0.2905816	0.6446946	0.9671681	0.9715076	1.0000000
0.7917360	1.0000000	0.0774712	0.9718627	0.1923407	0.6579093	0.4325938	0.9475646	0.8294521	1.0000000
0.7917360	1.0000000	0.0740411	0.4991705	0.8579265	0.1049540	0.7300423	0.9696969	0.9977851	1.0000000
0.7917360	1.0000000	0.0771006	0.8996680	0.3080785	0.9384997	0.2605776	0.9162754	0.7065319	1.0000000
0.7917360	1.0000000	0.0740729	0.5020119	0.8497484	0.1101481	0.9463547	0.4848335	0.9974887	1.0000000
0.7917360	1.0000000	0.0744724	0.5415775	0.7530627	0.1752346	0.7819195	0.7849760	0.4959228	1.0000000
0.7917360	1.0000000	0.0752170	0.6237572	0.6147989	0.2911892	0.6440383	0.9684506	0.9847506	0.5000298
