YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.1246659	0.8147463	0.8016867	0.0867780	0.6799500	0.7811170	0.7629397	0.7632445	0.8651344	0.6587320
0.0802102	0.3758953	0.2245499	0.0700620	0.7318838	0.8222498	0.6790069	0.6766482	0.8443649	0.7190321
0.2686082	0.7483485	0.3629642	0.0826635	0.8883326	0.8233085	0.7323982	0.7032886	0.8459758	0.7980573
0.2547240	0.7800421	0.6166687	0.0451669	0.7171019	0.8940418	0.7173851	0.6377152	0.8130900	0.7533400
0.2953124	0.8349497	0.8023345	0.1772502	0.4916991	0.7307331	0.6568344	0.8770192	0.7409286	0.6865990
0.1686382	0.5954770	0.6737541	0.0899049	0.8271647	0.4278651	0.6535359	0.7792078	0.8016579	0.8272385
0.2213134	0.8388195	0.7705282	0.1119841	0.7487365	0.9749035	0.4582310	0.7322461	0.8137456	0.6387786
0.2611122	0.6549137	0.6564841	0.1025894	0.7654065	0.7678663	0.8622544	0.3087343	0.6759371	0.7603843
0.2268491	0.8093613	0.7059155	0.0943900	0.7862579	0.7203941	0.8912319	0.8032557	0.3821450	0.7416764
0.1902518	0.7327556	0.6260306	0.0738620	0.8519832	0.6881999	0.8588480	0.7680763	0.7710811	0.3701210
