YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.3653963	1.0060079	1.0351447	0.0529609	0.9514777	0.0529174	0.0426319	1.0006909	0.9571334	0.0378101
0.4911301	0.5006986	1.0510720	0.0593310	0.9993762	0.0403601	0.0381706	0.9686085	1.0758055	0.0353072
0.6876491	1.1043285	0.4577779	1.0649088	0.9379806	0.0406259	0.0538116	0.9183565	0.6661915	0.4736469
0.7411942	1.0333134	1.0378223	0.0318073	0.9294124	0.0505617	0.0519289	1.0253052	1.0231155	0.0358690
0.7576312	1.0220113	1.0235436	0.0499109	0.5385778	0.0425919	0.0588521	0.9692228	0.8823357	0.0311503
0.5983650	0.9530611	1.0733696	0.0678202	1.0145519	0.0145325	0.0557303	0.9538767	1.0235515	0.0213542
0.6823591	1.0059093	1.0904678	0.0353014	0.8934526	0.0600360	0.0293962	1.0488495	0.9995535	0.0369463
0.8140599	0.9492095	1.0717482	0.0627920	1.0239706	0.0396223	0.1868050	0.4502437	0.9928443	0.0326879
0.6369219	0.9624807	1.0522922	0.0693460	1.0332801	0.0738915	0.0567397	0.8318392	0.4375638	0.0266125
0.6736347	1.1508978	0.9856764	0.0378747	0.9902247	0.0650187	0.0315270	1.1579895	1.0654952	0.0223135
