YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1724192	0.2266143	0.0384658	0.0627108	0.9135828	0.6099910	0.4401599	0.5433432	0.9833272	1.0286673
0.2912031	0.1294722	0.0336747	0.0498963	1.0009987	0.5786617	0.4966874	0.5910483	0.9510762	1.0369010
0.2445863	0.2331993	0.0264794	0.0618883	0.9768895	0.5814901	0.5428319	0.5250436	0.9238075	1.0123694
0.2646800	0.2526123	0.0148840	0.0246894	0.9778795	0.7495521	0.6039994	0.5589607	0.9851699	1.0572561
0.3033211	0.2671454	0.0426855	0.0597739	0.5312727	0.7020208	0.5004956	0.5605739	0.9966084	1.0242769
0.3016671	0.2498283	0.0725394	0.0721437	0.9350529	0.2770813	0.3915281	0.5309460	0.9348632	1.0631196
0.3435343	0.2547068	0.0798948	0.0414934	0.7226721	0.1319691	0.1644501	0.5493891	0.9297728	1.0147703
0.5151060	0.4307167	0.7128601	1.0868897	0.0324105	0.0630141	0.0822639	0.2550250	1.0054192	1.0446472
0.5338481	0.4685930	0.7415938	1.0065951	0.0396881	0.0618815	0.0826500	0.2504724	0.5334279	0.9448808
0.3145075	0.2488049	0.0428112	0.0584027	0.9347756	0.7156299	0.5560284	0.5383630	1.0865366	0.5018783
