YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.3906273	0.2365045	0.6958765	0.3965083	0.3291266	0.3393149	0.6110557	0.6167303	0.0381616	0.4397993
0.1884227	0.2053154	0.7579482	0.6858403	0.2102727	0.5456141	0.7440867	0.4902174	0.1048045	0.3711076
0.2055819	0.1963314	0.8982446	0.4783954	0.0712644	0.7200085	0.5745756	0.7520226	0.7796390	0.0831793
0.3868697	0.2441657	0.7317899	0.7735975	0.1121981	0.7718056	0.7555015	0.7320047	0.6763427	0.0394032
0.5548682	0.3212188	0.7444029	0.2681342	0.5391137	0.4130130	0.5749016	0.6974881	0.0278048	0.5945176
0.5632359	0.3425445	0.7256978	0.6535544	0.1331682	0.5496991	0.6292982	0.7985184	0.5603071	0.2337327
0.3194686	0.1306381	0.7738575	0.5461361	0.1914514	0.4858207	0.6577772	0.6964361	0.2151137	0.2988084
0.2714960	0.1912848	0.8610484	0.6887244	0.1424909	0.7924439	0.6854725	0.7656926	0.6043171	0.0406649
0.3552077	0.1543178	0.8893713	0.7820448	0.1173909	0.7633526	0.6474786	0.6806130	0.0180652	0.5093361
0.3714096	0.2114828	0.8661288	0.9159713	0.1213612	0.7327868	0.5967927	0.8112686	0.7914733	0.0706486
