YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.5695912	0.7924727	0.4638142	0.1519243	0.0087602	0.7275516	0.7294783	0.1867074	0.3738747	0.3522193
0.6419521	0.3066622	0.5935053	0.4375412	0.0056488	0.5513503	0.7047252	0.2145846	0.6110365	0.1813206
0.6243349	0.7066346	0.5684183	0.1812670	0.0485693	0.6251178	0.5476161	0.2341319	0.5842297	0.2731179
0.6185557	0.6955222	0.5942444	0.1015372	0.0821359	0.7115865	0.1315784	0.3002829	0.3370716	0.5002376
0.6314374	0.2715102	0.6052369	0.2983091	0.0033698	0.7638395	0.5929834	0.2434000	0.4855504	0.3421096
0.6865634	0.6252173	0.5977339	0.1078539	0.0529885	0.6260006	0.2862839	0.3304581	0.3515414	0.4764375
0.6333961	0.7583103	0.6194701	0.2006822	0.0507714	0.7395324	0.6915606	0.2576605	0.2085304	0.6347151
0.8347975	0.6594036	0.6743608	0.1158579	0.0217127	0.6809801	0.5299702	0.2066194	0.6565308	0.3521314
0.8161199	0.6411141	0.6702590	0.1677336	0.0818110	0.5994741	0.4886600	0.4002230	0.3301648	0.5258519
0.6551295	0.5898602	0.6431311	0.0590492	0.0318332	0.8026222	0.6124724	0.3136847	0.4169979	0.3778364
