YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000043	0.3580245	0.9927580	0.5789328	0.7184049	0.7752340	0.3457257	0.8816461	0.0899099	1.0000000
0.0440665	0.0000000	0.8028491	0.6208434	0.8067452	0.6791028	0.5273398	0.4067862	0.3170520	1.0000000
0.8566926	0.9999838	0.0000057	0.5727047	0.7055442	0.7884885	0.3233473	0.9823074	0.0755727	1.0000000
0.0643332	0.3553517	0.9999923	0.0000021	0.7185231	0.7750793	0.3460301	0.8802636	0.0901199	1.0000000
0.0650389	0.3565168	0.9969245	0.1060780	0.0000002	0.7751642	0.3458758	0.8809131	0.0900128	1.0000000
0.0659650	0.3581353	0.9924562	0.9691446	0.9999993	0.0000018	0.3457141	0.8817010	0.0899019	1.0000000
0.0658406	0.3579144	0.9930819	0.4282546	0.4985145	0.9999989	0.0000003	0.8815980	0.0899159	1.0000000
0.8134928	0.8866983	0.1949807	0.6995059	0.9261072	0.5056564	0.9999986	0.0000001	1.0000000	1.0000000
0.0643481	0.3553608	0.9999903	0.5789708	0.7185087	0.7750908	0.3460172	0.8802934	0.0000013	1.0000000
0.2688785	0.5395667	0.6285071	0.1177979	0.7561780	0.7356092	0.4160021	0.6438434	1.0000000	0.0000000
