YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2622633	0.0520194	0.2416000	0.4810983	0.9788845	0.3582665	0.9844561	1.0003867	1.0290480	0.0404212
0.5431950	0.0287706	0.2409600	0.3525238	1.0319630	0.3162964	0.8457980	0.9570974	0.9597283	0.0456639
0.4996070	0.0385230	0.1067649	0.3608987	0.9982066	0.3880522	0.9617975	0.9979328	1.0769267	0.0402920
0.5506253	0.0354797	0.3722524	0.1998829	0.9361278	0.3698831	0.8152427	0.9679897	0.9749090	0.0464331
0.5576835	0.0532728	0.1948474	0.9738857	0.1912359	1.0264124	0.9489693	0.9809391	1.0236313	0.1086920
0.5093543	0.0641111	0.2421492	0.4018731	0.9754863	0.1783392	1.0206606	0.9570297	1.0165860	0.0386215
0.5526593	0.0656412	0.2402756	0.3522057	1.0111176	0.3070202	0.4755166	0.8718979	0.9726727	0.0407720
0.5265627	0.0333195	0.2097980	0.4579391	1.0023410	0.2407158	0.4405206	0.5542311	0.9501416	0.0372735
0.5733997	0.0731375	0.2204735	0.3759330	1.0413348	0.3047178	0.8707007	0.7021598	0.5211917	0.0413496
0.5708497	0.0400648	0.2334856	0.3638180	0.9251133	0.3951127	0.9334321	1.0488859	1.0620414	0.0207662
