YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.5390031	0.1943397	0.6013663	0.3934959	0.5112783	0.3085103	0.6431064	0.6289865	0.3151705
0.8402899	0.0000000	0.0704751	0.6052814	0.3119810	0.4556875	0.3388016	0.0170840	0.6878319	0.1787234
0.7696083	0.0020296	0.0000000	0.7085118	0.4448041	0.3852777	0.3865291	0.0118826	0.2970850	0.2692834
0.1973961	0.6875371	0.3339732	0.0000000	0.3950706	0.4611502	0.3099206	0.0185437	0.5875239	0.2423498
0.4855410	0.2052583	0.1023571	0.7731389	0.0000000	0.2397477	0.7594509	0.0453202	0.7159073	0.1652406
0.2396041	0.5550325	0.2292510	0.7934763	0.3158391	0.0000000	0.4169767	0.0409225	0.8711471	0.0636889
0.6727492	0.1779246	0.0645803	0.7955564	0.0010418	0.6593638	0.0000000	0.0207031	0.2820960	0.4728189
0.5969783	0.1892072	0.0756927	0.7808518	0.3198808	0.4568636	0.3145023	0.0000000	0.5289173	0.2312639
0.7439434	0.2449158	0.1348787	0.8151326	0.3458221	0.4014884	0.3043283	0.0544438	0.0000000	0.2290423
0.2287825	0.7287669	0.5141994	0.7242280	0.3103743	0.3824533	0.3082323	0.0425007	0.8162335	0.0000000
