YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.3906413	0.0963842	0.3149529	0.9097038	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6101400	0.1288198	0.4876029	0.7244544	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.7805949	0.0968639	0.3159240	0.6060651	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.3720920	0.6366789	0.8458718	0.4610148	0.6548991	0.9996495	0.0398507	0.8452249	1.0000000	1.0000000
0.6021601	0.2676766	0.4970280	0.6948265	0.3274494	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6021744	0.2676548	0.4968609	0.6953688	0.3419722	0.4993903	0.0649290	0.8452249	1.0000000	1.0000000
0.6101492	0.2576277	0.4875998	0.7244675	0.6550012	0.9999397	0.0199241	0.8452249	1.0000000	1.0000000
0.6101388	0.2576386	0.4875965	0.7244618	0.6548988	0.9996486	0.0398430	0.4226568	1.0000000	1.0000000
0.6101421	0.2576341	0.4875948	0.7244615	0.6548988	0.9996486	0.0398446	0.4701844	0.5000000	1.0000000
0.6306975	0.2328731	0.4649810	0.9885384	0.2727892	0.9996485	0.0398507	0.8452249	1.0000000	0.5000000
