"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.1919020	1.0703848	0.2510566	0.3994873	0.0840599	0.3797023	0.2684878	0.6168259	0.9976571	1.0144637
50	0.1953430	0.9977869	0.2604981	0.5191162	0.0767245	0.3861629	0.2282497	0.5504630	1.0233813	1.0333613
100	0.2495512	1.0415681	0.2051871	0.5731328	0.0579103	0.3425022	0.2995489	0.5107237	0.9016817	0.9111791
150	0.2450901	1.0220202	0.1554219	0.6069294	0.0629776	0.1946971	0.2883378	0.4590643	1.0171523	0.9756742
200	0.2313644	1.0616003	0.1370583	0.5985956	0.0552069	0.1801812	0.2201229	0.4703946	1.0271865	0.9409097
250	0.2197301	1.1032071	0.1107448	0.6451966	0.0340424	0.2039310	0.2440582	0.4276057	0.9789782	1.0131912
300	0.2215775	1.0426917	0.1108984	0.6971476	0.0479975	0.2101648	0.2185420	0.4348185	0.8709243	0.9502266
350	0.1939042	0.9607831	0.1237886	0.6623588	0.0362765	0.2779451	0.2764918	0.5621298	0.8555233	1.0341769
400	0.2228092	0.9361942	0.1071409	0.6285086	0.0520731	0.2495346	0.2560973	0.5820988	0.9117413	1.0997710
450	0.2022836	0.9558950	0.1448982	0.6775157	0.0699367	0.2306411	0.2293955	0.5795200	0.8723596	0.9689551
500	0.2160088	1.0198149	0.1218530	0.6180436	0.0731192	0.2437545	0.1934697	0.6873667	0.9088636	0.9270531
550	0.2197290	0.9974651	0.1287111	0.5729985	0.0697422	0.2687520	0.2449724	0.6749624	1.0109630	0.9289064
600	0.2430409	1.0034170	0.1570317	0.4161725	0.0529074	0.3052008	0.2609218	0.5817007	0.9889874	1.0712289
650	0.2039926	1.0233209	0.1739638	0.3549988	0.0530187	0.3397892	0.2378328	0.5881852	0.9972559	1.0242276
700	0.1840204	1.0312873	0.2147128	0.3350610	0.0370247	0.3655112	0.2575582	0.5175039	1.0851137	1.0712134
750	0.1681112	0.9995549	0.1872201	0.3431696	0.0441193	0.3356070	0.2961309	0.5256690	0.9084019	1.1078054
800	0.1825972	1.0483762	0.2204691	0.3699600	0.0581508	0.3479290	0.2761146	0.5954109	0.9644864	0.9770597
850	0.1553950	1.0653353	0.2425063	0.3780629	0.0680920	0.3151951	0.2520617	0.6842320	1.0101158	0.9525609
900	0.1855411	1.0595344	0.2247717	0.3666918	0.0780981	0.3853342	0.2034102	0.5725952	0.9519010	0.9516257
950	0.1996767	1.0715341	0.2575516	0.3910974	0.0733854	0.3886072	0.2198001	0.5815071	0.9970884	0.9659131
1000	0.1812346	1.0249749	0.2263072	0.3550403	0.0705209	0.4222062	0.2015199	0.5117197	0.9321331	1.0016244

0	0.1919020	1.0703848	0.2510566	0.3994873	0.0840599	0.3797023	0.2684878	0.6168259	0.9976571	1.0144637
50	0.1834751	1.0438992	0.2649249	0.3137639	0.0593028	0.2571648	0.2151848	0.3973824	0.9621969	0.9856062
100	0.1543252	0.9495976	0.2984415	0.3039805	0.0447973	0.1319684	0.2664976	0.2051367	0.9040162	1.0848041
150	0.1767627	0.9201911	0.3235453	0.2180994	0.0333120	0.1111949	0.2690044	0.1899722	0.8101964	0.9992153
200	0.2415231	0.9399637	0.3746661	0.1748700	0.0318263	0.0534628	0.3964297	0.1981199	0.9121942	1.0368863
250	0.2372669	1.0214302	0.5489969	0.1151400	0.0585290	0.0367417	0.4535002	0.1737555	1.0555520	1.0926696
300	0.2645402	1.0211051	0.6751728	0.0738867	0.0598938	0.0298740	0.4815378	0.1056106	1.0572167	1.0748919
350	0.2736015	0.9668435	0.7849927	0.0574943	0.0619698	0.0130962	0.5803758	0.1084874	0.9680218	1.0083225
400	0.2648544	0.8980558	0.8463516	0.0440140	0.0465032	0.0036061	0.6278507	0.1045190	0.9323360	0.8865467
450	0.2666399	0.8236599	0.9077410	0.0571367	0.0391804	0.0012930	0.6885623	0.1511453	0.9262465	1.0052614
500	0.2879323	0.9686056	0.9550047	0.0476546	0.0391543	0.0009292	0.5299500	0.1313859	1.0644248	1.0958820
550	0.2411159	0.9444041	0.9518811	0.0441263	0.0516701	0.0777893	0.5752153	0.2843001	0.9570717	1.1458434
600	0.2027975	1.0067564	0.9450829	0.0646889	0.0204247	0.1560592	0.3925910	0.5169944	0.9743304	1.0067778
650	0.1904211	0.9825411	0.9208683	0.0719032	0.0187167	0.2259371	0.2519037	0.5496061	0.9291065	1.0793355
700	0.2210249	0.9167037	0.8990991	0.1755772	0.0405119	0.2981275	0.2727264	0.6211682	0.8972036	0.9891304
750	0.2257537	0.9596093	0.7698874	0.2111193	0.0596850	0.3061244	0.3492134	0.5599738	0.9190334	0.9025464
800	0.2036431	0.8820644	0.6391701	0.2679913	0.0600870	0.2980660	0.2425795	0.6400012	0.9995993	0.9340398
850	0.2112476	0.8545168	0.6323795	0.2749156	0.0635056	0.3344446	0.2285453	0.6397497	0.9318216	1.1176979
900	0.2307806	0.8580915	0.5070124	0.3628279	0.0667061	0.3435481	0.2821933	0.6046638	0.9760905	1.0060490
950	0.2505308	0.8275291	0.4125402	0.3560136	0.0766136	0.3517943	0.2805323	0.6071479	1.0039712	0.9658168
1000	0.2078289	0.9946925	0.3169771	0.3161500	0.0681829	0.3290452	0.2380250	0.5627168	1.0315861	0.8928116

0	0.1919020	1.0703848	0.2510566	0.3994873	0.0840599	0.3797023	0.2684878	0.6168259	0.9976571	1.0144637
50	0.1554860	1.0828760	0.2199833	0.4653434	0.0516394	0.2531111	0.2352403	0.3100007	0.9797824	1.0450020
100	0.1765570	0.9785197	0.1360045	0.5268876	0.0462970	0.1328913	0.3477869	0.1167905	0.9139963	1.0150478
150	0.1701861	0.9447096	0.0829208	0.4727119	0.0537886	0.0726869	0.4075457	0.0601867	0.8306262	1.0597145
200	0.1594297	0.8745876	0.0536298	0.4510584	0.0615327	0.0353202	0.7054645	0.0571637	0.9509169	1.1244445
250	0.2269237	0.7273953	0.0537592	0.4340376	0.0477187	0.0254007	0.7663933	0.0558858	0.9257350	1.0062557
300	0.2983210	0.6169046	0.0391046	0.4531199	0.0649853	0.0115508	0.8148766	0.0460273	0.8800394	0.9673749
350	0.3806622	0.4574672	0.0326413	0.3392641	0.0648261	0.0078015	0.8534952	0.0306954	0.9696682	0.9782923
400	0.3934758	0.4792096	0.0531555	0.3661506	0.0756995	0.0089602	0.9189314	0.0391610	0.9124600	0.9987973
450	0.5639881	0.4960738	0.0403279	0.3995036	0.0840631	0.0026970	0.9601409	0.0306307	1.0243337	1.0161939
500	0.6591006	0.4289826	0.0470248	0.3595226	0.1312510	0.0006734	1.0511127	0.0130185	1.0171646	0.9628664
550	0.6425380	0.5174051	0.1127155	0.2718738	0.1696797	0.0804984	0.7482151	0.3013753	0.8974416	1.0935744
600	0.6191877	0.6496628	0.2619320	0.1973809	0.1548191	0.1723276	0.4427318	0.5506906	0.9340703	0.9793638
650	0.5577147	0.8683330	0.4486440	0.1455948	0.1515359	0.2204806	0.3440564	0.6129646	0.9768420	1.0301578
700	0.4485423	0.9458443	0.5119403	0.2110574	0.1652769	0.2384133	0.2914353	0.6607078	0.8682826	1.0354005
750	0.3538684	0.9799838	0.5544304	0.2613526	0.1408721	0.2956410	0.2551695	0.6888223	1.0238042	0.9807923
