"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	1.0371304	1.0154591	0.8817900	0.9673496	0.0106585	0.2283702	0.9949720	0.1427573	1.0000268	0.8163074
50	1.0189151	0.9574104	0.8798014	1.0008911	0.0138322	0.3348932	0.7616025	0.0941270	0.9699976	0.8297828
100	0.9114372	0.9545238	0.9563932	0.9868770	0.0167800	0.3519205	0.8239638	0.0883208	1.0415215	0.7389345
150	0.9642574	0.9316230	0.8702639	0.9798026	0.0331167	0.3157562	0.7511823	0.1349081	1.1311259	0.6990559
200	0.9089654	0.9745058	0.8164584	0.9631032	0.0115016	0.3345175	0.7829578	0.1247929	0.9488271	0.7490370
250	0.9764597	0.8999856	0.8752407	0.9600031	0.0181416	0.3643459	0.7965140	0.1315205	0.9735271	0.7241861
300	1.0199922	0.9901290	0.8754334	0.9388312	0.0170550	0.3309762	0.7213637	0.1195505	1.0913566	0.6687059
350	0.9439228	0.9630376	0.9426106	0.9326147	0.0082070	0.3694560	0.7426322	0.1606549	1.0617912	0.6561917
400	0.9746738	0.9619068	0.9140614	0.9926045	0.0166061	0.3447058	0.7746344	0.1512198	0.9972712	0.7975807
450	1.0225437	0.9481694	0.8783668	0.9425923	0.0223085	0.3623088	0.7147470	0.1447175	1.0317064	0.7339325
500	1.0287544	0.9759879	0.8263214	0.9055407	0.0222535	0.3453339	0.7724491	0.1376418	1.0020727	0.7873186
550	0.9347530	0.9215563	0.8127358	1.0319073	0.0121509	0.4073786	0.9225429	0.1222587	1.1591684	0.7501064
600	1.0464451	0.8980060	0.8239293	1.0023191	0.0275934	0.3315977	0.9896211	0.1555529	1.1051681	0.7665802
650	1.0127371	0.8860834	0.9239218	1.0408179	0.0203034	0.2771972	0.9827449	0.1532404	0.9829403	0.7826150
700	0.9879660	1.0022328	0.8722723	0.9647212	0.0142915	0.2947289	0.9686067	0.1566033	0.9918422	0.7771197
