YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000000	0.0129195	0.2265470	0.6436598	0.7254482	0.5613332	0.7591630	0.6960842	0.7226421	0.7790575
0.0373790	0.0000000	0.1791545	0.7288847	0.7553782	0.3770219	0.6749670	0.7102807	0.6667718	0.6757199
0.0987405	0.0174881	0.0000000	0.7624020	0.7560526	0.4191298	0.7966523	0.5649476	0.7336746	0.6997846
0.7015829	0.5264949	0.6894591	0.0000000	0.8619340	0.3561339	0.7638133	0.7771888	0.6449458	0.7637920
0.5115096	0.4873094	0.3092264	0.6050635	0.0000000	0.3686756	0.8143861	0.7978985	0.5874263	0.6729341
0.7295989	0.3684473	0.1913283	0.7929272	0.7486011	0.0000000	0.7187552	0.7430805	0.6527324	0.7485568
0.6621145	0.4002977	0.2016885	0.9738830	0.6477547	0.0069845	0.0000000	0.8308319	0.7477873	0.7574260
0.5505960	0.4200442	0.2035591	0.7296781	0.6859920	0.3522058	0.7790575	0.0000000	0.6641113	0.8039824
0.6141075	0.3300364	0.2035668	0.8033316	0.7926336	0.3716805	0.7382786	0.8300168	0.0000000	0.7376669
0.6213524	0.4609519	0.2837865	0.7386769	0.6402216	0.4730031	0.7177433	0.7408064	0.7635004	0.0000000
