YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0431075	0.8552094	0.0538639	0.9796199	0.8990128	0.7602693	0.8154969	1.0744503	0.8422567	0.9938107
0.1249700	0.4184420	0.0461477	0.9871334	0.8482475	0.7955037	0.9302546	1.1209785	0.7600470	0.9678341
0.1406651	1.0469386	0.0246783	1.0567505	0.8748210	0.8370336	0.8292993	0.9741635	0.8433806	0.9717501
0.1016157	0.8996389	0.0578053	0.4983591	0.8289884	0.8775342	0.7699268	1.0701661	0.5606218	0.8616299
1.0768788	0.0677173	0.9414098	0.0385768	0.1279425	0.8533114	0.8677218	0.9734804	0.1061038	1.1169121
0.0737337	0.8749159	0.0290741	0.9434128	1.0201526	0.3714568	0.7871116	1.1045166	0.6463833	1.0508811
0.1055681	1.0563531	0.0301883	0.9506629	0.9851356	0.5951418	0.3930302	0.9753062	0.7309151	0.9711916
0.0973037	0.9302321	0.0225058	0.9811872	0.9543912	0.6472384	0.3210275	0.5102882	0.8184718	1.0056169
0.1000839	0.8626306	0.0518673	1.0815914	0.8399523	0.9302972	0.8564624	0.9487450	0.3709825	1.0293526
0.0954694	0.9493382	0.0424260	1.0373660	0.7895910	0.7383860	0.8218321	1.0496237	0.7528593	0.5672154
