YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.4927218	0.2908317	0.6781946	1.0004079	0.4193842	1.0101140	0.2115392	1.0547020	0.0012081	1.0626356
0.3702708	0.4306395	0.5257672	0.9925857	0.3231425	1.0385607	0.2477994	0.9818503	0.0013561	0.7745111
0.2087356	0.2467986	0.8467813	1.0386663	0.2877764	1.0718827	0.2151704	1.0840748	0.1203879	1.0720904
0.4337219	0.3976648	0.6208999	0.6819186	0.3137345	0.4532880	0.1141973	1.0060861	0.0898402	0.8481872
0.6669094	0.5669321	0.5129126	0.9196964	0.2696709	0.7250815	0.1150373	1.0349893	0.0874527	1.0437499
0.3985738	0.8754726	0.3451146	0.9322960	0.2880689	1.0657702	0.3142144	0.9732130	0.1119125	1.0342021
0.1402802	0.3299548	0.7314092	0.7681388	0.5038456	0.6916899	0.1773250	1.0557958	0.0703151	1.0336800
0.2505618	0.6032556	0.3116794	0.9407916	0.2224290	0.9019134	0.1711211	0.9735446	0.0921918	0.9306995
0.4406230	0.5664003	0.6304288	0.6795210	0.2586198	0.7476946	0.2509462	0.8100897	0.0003893	1.0580152
0.0873952	0.1596293	0.7529297	1.0210780	0.2557295	0.9437279	0.2092775	1.0130557	0.0000003	0.9722690
