YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000023	0.0375762	0.6498033	0.8010134	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.0795027	0.0000016	0.6498043	0.8010132	0.9907599	0.0671154	0.0663718	0.2897699	0.5232176	0.0117585
0.0938026	0.0375762	0.0000030	0.8010135	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.3683590	0.4365905	1.0000000	0.0000003	0.9958047	0.0508435	0.0456873	0.3318248	0.5751694	0.0116331
0.3683562	0.4365697	1.0000000	0.0030125	0.0000000	0.0508275	0.0456819	0.3318297	0.5751623	0.0116330
0.0937868	0.0375441	0.6465528	0.8045603	0.9999999	0.0000025	0.0663712	0.2897708	0.5232187	0.0117584
0.0937504	0.0374684	0.6476652	0.8037422	0.9983929	0.0363254	0.0000000	0.2897815	0.5232321	0.0115883
0.4776615	0.6339007	0.9999995	0.0112545	0.0784592	0.9039447	1.0000000	0.0000000	0.4621574	0.7472668
0.3836816	0.4614468	0.9999988	0.0112632	0.0784669	0.9038968	0.9997328	0.0222243	0.0000000	0.7470863
0.0913548	0.0326925	0.6497886	0.8010393	0.9908610	0.0668315	0.0660545	0.2902375	0.5237931	0.0000028
