"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	1.0262259	0.3858972	0.3412221	0.7660569	0.4776847	0.5872618	0.7139667	0.0126990	0.3000545	0.5866194
50	0.9412600	0.4167360	0.3247776	0.8203468	0.4355905	0.6185472	0.5222345	0.0715747	0.2862346	0.4615960
100	0.8652804	0.5478869	0.2967094	0.7331763	0.3480323	0.4892489	0.3526396	0.0986804	0.3094589	0.6057580
150	0.9282202	0.4925052	0.2901030	0.7188813	0.4226218	0.4795247	0.2632209	0.1758969	0.3043816	0.6600812
200	1.0619396	0.3809420	0.3395987	0.5738444	0.4017408	0.5053812	0.2373421	0.2351774	0.3896957	0.6557898
250	1.0232671	0.4156994	0.4682559	0.5059646	0.3581014	0.5121000	0.2398843	0.2721171	0.3874018	0.7367105
300	0.9419707	0.2966567	0.5888993	0.5635090	0.4159155	0.5309564	0.2061648	0.2475970	0.3708188	0.6673682
350	0.9748339	0.3484994	0.6302643	0.5190746	0.3730337	0.6054537	0.1961103	0.2165262	0.3043119	0.5497652
400	0.9180916	0.3271265	0.6382068	0.5923495	0.3405665	0.5613925	0.2108565	0.1941769	0.3311395	0.6752402
450	0.8498326	0.3579074	0.5241802	0.6055199	0.3429311	0.5418014	0.2068598	0.1721481	0.2718813	0.6727946
500	1.0277068	0.3980638	0.5034688	0.6192007	0.3684597	0.4366387	0.1982424	0.1720748	0.3044852	0.7096574
550	0.9805266	0.3380552	0.6049765	0.5898450	0.5120236	0.6212187	0.3527398	0.1354524	0.3776796	0.6569710
600	0.9759462	0.3271766	0.5308919	0.8373683	0.4749848	0.6854578	0.5152082	0.1021598	0.3059849	0.5156623
650	0.9498210	0.3673588	0.3897002	0.8145403	0.4571136	0.7347556	0.5950013	0.0601426	0.2554302	0.5582045
700	0.8839381	0.4850844	0.3178916	0.8297325	0.3691079	0.7910949	0.6185986	0.0479517	0.2436370	0.5056387
750	0.8768332	0.4805469	0.2723587	0.8668379	0.2498180	0.7631394	0.6986035	0.0185905	0.3017786	0.4804663
800	0.9027448	0.5204207	0.2553650	0.7621433	0.2876155	0.6835086	0.8458132	0.0238258	0.3428898	0.5161337
850	1.0807045	0.5572875	0.2819460	0.7566459	0.2793609	0.6183885	0.7834562	0.0280287	0.3692950	0.5514364
900	1.0481662	0.4433385	0.2885238	0.7343386	0.4024998	0.5692504	0.8759600	0.0227544	0.3820475	0.5138435
950	0.9734036	0.4264223	0.3885915	0.7034107	0.4725882	0.6304232	0.8354426	0.0231424	0.3929733	0.5873966
1000	0.9989042	0.4962231	0.3927757	0.7463842	0.4911220	0.6312606	0.8293223	0.0235939	0.3853181	0.5081203

0	1.0262259	0.3858972	0.3412221	0.7660569	0.4776847	0.5872618	0.7139667	0.0126990	0.3000545	0.5866194
50	0.9252889	0.4388524	0.2230666	0.6992430	0.3315796	0.5279723	0.6394682	0.1281829	0.4638848	0.5339139
100	0.9432459	0.3598739	0.2855946	0.6258928	0.4072831	0.4268582	0.4936316	0.3617403	0.4942449	0.6205507
150	0.9956556	0.4415280	0.3901823	0.6449324	0.5330396	0.3330441	0.4076594	0.6409065	0.5324903	0.7573741
200	0.9485376	0.4182750	0.4008586	0.6719389	0.6249594	0.2483680	0.2483867	0.6836801	0.5615603	0.7631152
250	0.9090828	0.3983495	0.3529549	0.7404630	0.6915703	0.3895464	0.1997054	0.6934394	0.5704596	0.8038039
300	0.9856146	0.4526397	0.3169519	0.8135777	0.7079198	0.4310964	0.1809230	0.8047502	0.5483234	0.6702418
350	0.9743853	0.4954138	0.3581238	0.8735348	0.6597494	0.3847542	0.1510782	0.8037615	0.4878521	0.7987014
