YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.3056873	0.0442469	0.2009985	0.7410285	0.5141822	0.6668079	0.0228921	0.4535214	0.7664552	0.8164513
0.4991929	0.0922265	0.4454903	0.5389440	0.5773713	0.7498075	0.0382763	0.6940240	0.8499918	0.7055391
0.5446301	0.0536367	0.3788351	0.5593872	0.5641053	0.6968522	0.0520466	0.5832508	0.6811573	0.6282257
0.2438102	0.3540382	0.6487155	0.3197319	0.4323353	0.7301750	0.0372769	0.6811214	0.7233229	0.7105553
0.4812741	0.1283178	0.4280706	0.3608218	0.2978547	0.7737347	0.0310186	0.6484588	0.8014043	0.8244862
0.4463291	0.1737513	0.2852080	0.6516989	0.2631333	0.3449776	0.0245143	0.6349032	0.6983217	0.8078241
0.3834038	0.1456875	0.3335809	0.5183081	0.5456603	0.8552832	0.0155243	0.6960152	0.7552629	0.7281607
0.5054339	0.1859571	0.4314071	0.4869367	0.4811827	0.7619954	0.0518027	0.2790836	0.7417548	0.7938477
0.5073657	0.2699159	0.3176360	0.5814634	0.3768038	0.7873603	0.0595632	0.2934491	0.3333373	0.7917508
0.4740280	0.1420793	0.4288863	0.7702019	0.2735560	0.7418796	0.0457313	0.6028102	0.8903487	0.4723518
