YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000000	0.9014093	0.4952988	0.9133570	0.5272277	0.7231308	0.8780710	0.0755059	0.2244161	1.0454242
1.0101759	0.0000000	0.5889373	0.7420105	0.5065184	0.9609930	0.9050794	0.0837278	0.1833108	1.0179602
1.0489181	0.0521807	0.0000000	0.8747830	0.6516083	0.9892240	0.9165030	0.0428767	0.1585221	0.9579916
0.5749499	0.9901052	0.9831170	0.0000000	0.4998872	0.8070277	1.0059048	0.0531414	0.2194067	1.1377546
0.5164192	1.0122209	0.9538919	0.0010199	0.0000000	0.9001818	0.9661501	0.0603632	0.2287291	0.9320136
0.6797170	0.8941929	0.5920096	0.8117119	0.4903413	0.0000000	0.9143129	0.0486200	0.2003110	0.9698284
0.5503522	0.9822769	0.9593375	0.0060135	0.0220912	0.2289373	0.0000000	0.0626609	0.2195284	1.0128288
0.6898658	0.9015353	0.5781205	0.8455465	0.5680897	0.8011965	1.0524823	0.0000000	0.2026296	0.9567694
0.6101060	0.8711447	0.5531140	0.8609852	0.4912906	0.8285020	0.9022315	0.0723489	0.0000000	1.0019954
0.5598644	0.9289876	0.9882000	0.0081730	0.0249916	0.5924049	0.2496262	0.7111085	1.0884805	0.0000000
