YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.3151500	0.5944029	0.4057546	0.5211176	0.4366235	0.4744272	0.7453279	0.0245338	0.3624736	0.5935646
0.7295101	0.2019561	0.2262024	0.7235409	0.3404654	0.6802990	0.6018396	0.0044384	0.1791607	0.4218966
0.5674052	0.4005908	0.1124083	0.6708100	0.3655788	0.5504400	0.7044392	0.0131643	0.2560496	0.5093508
0.7894849	0.1908531	0.6878525	0.2974345	0.4059914	0.4297955	0.8255410	0.0037520	0.2486225	0.6137002
0.6918357	0.3125171	0.2997831	0.4981131	0.1840630	0.3580131	0.7642799	0.0160665	0.2518301	0.4885100
0.7997147	0.5136712	0.0843121	0.9073243	0.8218787	0.3085781	0.4823113	0.0195173	0.2918647	0.6564237
0.8651356	0.4193793	0.2797097	0.6336634	0.1953369	0.8459719	0.2619894	0.0137887	0.3193921	0.3037276
0.8102537	0.3716903	0.2189157	0.6320908	0.2922187	0.5199285	0.6826330	0.0145793	0.3140304	0.4613183
0.7703300	0.3702607	0.1617368	0.7019820	0.3060570	0.5439556	0.6442459	0.0071703	0.1150270	0.4401201
0.7989514	0.2330063	0.3987834	0.5730286	0.2737819	0.4815174	0.6427250	0.0130870	0.3530165	0.1955455
