YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0593022	0.2872782	0.8930021	0.5362398	0.7564324	0.5053822	0.2251002	0.0175115	0.8870239	0.5415350
0.1753043	0.1772557	0.7788033	0.4515292	0.5988427	0.9698504	0.6602886	0.0400658	0.4737104	0.6029765
0.1113370	0.3546662	0.3892769	0.4513168	0.5983982	0.9717975	0.6766735	0.0422137	0.4620893	0.6031248
0.1111703	0.3572711	0.1281132	0.2241413	0.5933687	0.9909373	0.9639293	0.3087895	0.2111833	0.6053223
0.1054913	0.5904234	0.1508238	0.2365691	0.2966470	0.9912005	0.9724740	0.3726695	0.1938007	0.7660164
0.1205653	0.2774187	0.9050215	0.5494171	0.7837833	0.4435213	0.4290664	0.0237082	0.6404554	0.5318368
0.1199458	0.2809696	0.9012606	0.5443629	0.7727181	0.4684475	0.2143257	0.0236786	0.6412729	0.5355141
0.1122631	0.3419551	0.8055016	0.4663539	0.6240470	0.8789688	0.4179031	0.0116255	0.6502927	0.5922401
0.1112190	0.3567139	0.7742056	0.4488787	0.5943236	0.9872994	0.8683164	0.1023208	0.3241699	0.6048826
0.1129604	0.3331234	0.8222242	0.4772130	0.6432818	0.8146686	0.3576187	0.0210609	0.7071878	0.2922038
